ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
191718;1;14.11.2017;03.09.2014;603,9;0;;;;;0;14.11.2017;14.11.2017;1;4
204785;1;25.01.2017;09.03.2015;1000;0;;;;;1;30.07.2019;25.01.2017;1;2
222934;1;02.03.2017;01.03.2017;3000;1;4;;;;1;30.07.2019;02.03.2017;1;1
227313;1;17.01.2017;10.07.2013;11599,73;0;;;;;0;17.01.2017;17.01.2017;1;4
227330;1;17.01.2017;07.07.2015;10711,19;0;;;;;0;30.07.2019;17.01.2017;1;2
232658;1;18.01.2017;15.09.2015;1200;0;;;;;0;30.07.2019;18.01.2017;1;2
244000;1;17.01.2017;23.11.2015;304000;0;;;;PV 8328/2015;0;30.07.2019;17.01.2017;1;3
244143;1;17.01.2017;23.11.2015;117000;0;;;;št. prej. vp. 4236-8351/2015;0;30.07.2019;17.01.2017;1;1
245059;1;17.01.2017;20.10.2015;93060;0;;;;;0;30.07.2019;17.01.2017;1;3
249188;1;17.01.2017;04.12.2015;1726;0;;;;;0;30.07.2019;17.01.2017;1;2
255695;1;19.01.2017;06.03.2015;5000;0;;;;;0;30.07.2019;19.01.2017;1;2
258002;1;10.02.2017;11.03.2016;70000;0;;;;;0;30.07.2019;10.02.2017;1;1
271369;1;31.01.2017;15.06.2016;1579;0;;;;;0;30.07.2019;31.01.2017;1;3
271753;1;18.01.2017;20.06.2016;108000;0;;;;n 5883/16;0;30.07.2019;18.01.2017;1;2
272797;1;25.01.2017;30.05.2016;111500;0;;;;;1;30.07.2019;25.01.2017;1;3
273519;1;10.02.2017;05.03.2016;21000;0;;;;;1;30.07.2019;10.02.2017;1;2
274031;1;13.02.2017;17.05.2016;26957;0;;;;4640/16 poškodovano do te mere, da je popolnoma uničeno (stavba C. Španskih borcev 57 a) priložena cenitev;0;30.07.2019;13.02.2017;1;3
275014;1;13.02.2017;19.07.2016;85634,99;1;3;;;;0;02.06.2023;13.02.2017;1;1
277084;1;17.01.2017;09.06.2016;900;0;;;;;0;30.07.2019;17.01.2017;1;1
279032;1;10.02.2017;01.06.2016;125694,18;1;3;;;;0;30.07.2019;10.02.2017;1;2
279243;3;15.02.2017;08.06.2016;150661;1;4;;;Za neprmeičnine DDV ni obračunan na podlagi 76.a člena in 45. člena ZDDV-1 in je predmet obrnjene davčne obveznosti, na podlagi katere je zavezanec za plačilo DDV kupec (znesek 33.145,42 EUR) kupev na osnovi samoobdavčitve.;0;30.07.2019;15.02.2017;1;3
284948;1;27.02.2017;04.07.2016;991500;0;;;;št. prejemnega vpisnika: 4236-26492/2016.;1;30.07.2019;27.02.2017;1;3
285120;1;13.02.2017;17.06.2016;35661,8;0;;;;N 6375/2016;0;30.07.2019;13.02.2017;1;3
294287;3;18.02.2017;08.07.2016;751826,22;1;4;;;;0;30.07.2019;18.02.2017;1;3
297437;1;18.01.2017;29.09.2016;49000;0;;;;PV/9950/2016;0;30.07.2019;18.01.2017;1;1
297661;3;10.02.2017;14.10.2016;3235400;0;;;;;0;30.07.2019;10.02.2017;1;3
299537;1;05.01.2017;15.09.2016;15180;0;;;;;1;02.06.2023;05.01.2017;1;3
299636;3;06.01.2017;23.12.2016;2684;1;4;;;;0;30.07.2019;06.01.2017;1;3
299761;1;09.01.2017;05.01.2017;352687,67;1;3;;;;0;30.07.2019;09.01.2017;1;1
299958;1;10.01.2017;28.11.2016;64700;1;3;;;;0;30.07.2019;10.01.2017;1;2
300213;1;12.01.2017;08.12.2016;82000;1;3;;;;0;30.07.2019;12.01.2017;1;1
300250;1;12.01.2017;21.09.2016;10000;1;3;;;;0;30.07.2019;12.01.2017;1;1
300352;3;13.01.2017;09.09.2016;190000;1;4;;;Prodaja po obrnjeni davčni stopnji (76.člen ZDDV);;30.07.2019;13.01.2017;1;3
300459;1;16.01.2017;13.12.2016;93500;0;;;;;0;30.07.2019;16.01.2017;1;4
300600;1;16.01.2017;17.08.2016;115000;1;4;;;;0;30.07.2019;16.01.2017;1;2
300661;1;16.01.2017;10.01.2017;159900;1;3;;;;1;30.07.2019;16.01.2017;1;2
300742;1;16.01.2017;30.12.2016;161200;1;3;;;;1;30.07.2019;16.01.2017;1;2
300754;1;16.01.2017;11.10.2016;10000;0;;;;;0;30.07.2019;16.01.2017;1;3
300757;1;16.01.2017;25.10.2016;38000;0;;;;;0;30.07.2019;16.01.2017;1;4
300758;1;16.01.2017;21.12.2016;100000;0;;;;;1;30.07.2019;16.01.2017;1;2
300759;1;16.01.2017;21.12.2016;8724;0;;;;;0;30.07.2019;16.01.2017;1;1
300768;1;16.01.2017;23.11.2016;226,32;0;;;;;0;30.07.2019;16.01.2017;1;2
300774;1;16.01.2017;16.11.2016;20000;0;;;;;0;30.07.2019;16.01.2017;1;2
300779;3;16.01.2017;27.12.2016;13754,5;0;;;;;0;30.07.2019;16.01.2017;1;3
300783;2;16.01.2017;21.12.2016;64800;0;;;;;0;30.07.2019;16.01.2017;1;2
300794;1;16.01.2017;14.12.2016;350000;0;;;;PV 12091/2016;0;30.07.2019;16.01.2017;1;2
300802;1;16.01.2017;03.12.2016;2600;0;;;;;0;30.07.2019;16.01.2017;1;1
300808;1;16.01.2017;20.12.2016;10000;0;;;;n 12109/16;0;30.07.2019;16.01.2017;1;1
300814;1;16.01.2017;26.10.2016;199;0;;;;;0;30.07.2019;16.01.2017;1;3
300816;1;16.01.2017;15.12.2016;4258,1;0;;;;;0;30.07.2019;16.01.2017;1;1
300821;1;16.01.2017;15.12.2016;687630,44;0;;;;N 12094/16;0;16.01.2017;16.01.2017;1;5
300823;1;16.01.2017;04.11.2016;3841,2;0;;;;;0;30.07.2019;16.01.2017;1;2
300826;1;16.01.2017;21.11.2016;9199;0;;;;;0;30.07.2019;16.01.2017;1;1
300849;1;16.01.2017;22.12.2016;148000;0;;;;;0;30.07.2019;16.01.2017;1;1
300854;1;16.01.2017;27.12.2016;120000;0;;;;;0;30.07.2019;16.01.2017;1;2
300860;1;16.01.2017;23.12.2016;57000;0;;;;;0;30.07.2019;16.01.2017;1;1
300871;1;16.01.2017;12.12.2016;20000;0;;;;;0;30.07.2019;16.01.2017;1;1
300876;1;16.01.2017;22.12.2016;140000;0;;;;;1;30.07.2019;16.01.2017;1;1
300881;3;16.01.2017;19.07.2016;90820,65;0;;;;12115/16;0;30.07.2019;16.01.2017;1;3
300886;3;16.01.2017;16.12.2016;120000;0;;;;n12114/16;0;30.07.2019;16.01.2017;1;3
300902;1;16.01.2017;14.12.2016;834,85;0;;;;;0;30.07.2019;16.01.2017;1;1
300916;1;16.01.2017;20.12.2016;45000;0;;;;;0;30.07.2019;16.01.2017;1;1
300922;1;16.01.2017;19.12.2016;74000;0;;;;n 12028;0;30.07.2019;16.01.2017;1;2
300924;1;16.01.2017;21.12.2016;10000;0;;;;n 12066/16;1;30.07.2019;16.01.2017;1;1
300933;1;16.01.2017;21.12.2016;42500;0;;;;;0;30.07.2019;16.01.2017;1;1
300937;1;16.01.2017;17.11.2016;22000;0;;;;;0;30.07.2019;16.01.2017;1;2
300952;1;16.01.2017;17.12.2016;165000;0;;;;;1;30.07.2019;16.01.2017;1;1
300956;1;16.01.2017;20.12.2016;150000;0;;;;;0;30.07.2019;16.01.2017;1;1
300959;1;16.01.2017;21.12.2016;135000;0;;;;12005/2016;1;30.07.2019;16.01.2017;1;2
300974;1;16.01.2017;12.12.2016;26000;0;;;;;0;30.07.2019;16.01.2017;1;1
300979;1;16.01.2017;15.12.2016;147000;0;;;;;0;30.07.2019;16.01.2017;1;4
300980;2;16.01.2017;12.12.2016;41976;0;;;;Prodajalka Aleksandra Rajniš- v stečaju (St2222/2015), ki jo zastopa stečajni upravitelj Grega Lippai.;0;30.07.2019;16.01.2017;1;3
300992;1;16.01.2017;30.11.2016;9000;0;;;;;0;30.07.2019;16.01.2017;1;2
301002;1;16.01.2017;20.12.2016;1492;0;;;;;0;30.07.2019;16.01.2017;1;1
301005;1;16.01.2017;07.12.2016;6000;0;;;;;0;30.07.2019;16.01.2017;1;1
301009;1;16.01.2017;20.12.2016;14000;0;;;;PV 11929/2016;1;30.07.2019;16.01.2017;1;3
301010;1;16.01.2017;12.12.2016;150000;0;;;;PV 11944/2016;0;30.07.2019;16.01.2017;1;2
301029;1;16.01.2017;10.10.2016;3500;0;;;;;0;30.07.2019;16.01.2017;1;1
301030;1;16.01.2017;21.12.2016;68000;0;;;;;1;30.07.2019;16.01.2017;1;2
301035;1;16.01.2017;19.12.2016;40000;0;;;;;1;30.07.2019;16.01.2017;1;1
301045;1;16.01.2017;19.12.2016;130000;0;;;;;0;30.07.2019;16.01.2017;1;2
301049;1;16.01.2017;06.12.2016;65;0;;;;;0;30.07.2019;16.01.2017;1;2
301066;1;16.01.2017;14.12.2016;8000;0;;;;;0;30.07.2019;16.01.2017;1;2
301068;1;16.01.2017;14.12.2016;154500;0;;;;11967;1;30.07.2019;16.01.2017;1;1
301076;1;16.01.2017;20.12.2016;7000;0;;;;11962/16;0;30.07.2019;16.01.2017;1;3
301092;1;16.01.2017;18.08.2016;1800;0;;;;;0;30.07.2019;16.01.2017;1;1
301093;1;16.01.2017;21.11.2016;13000;0;;;;;0;30.07.2019;16.01.2017;1;4
301098;1;16.01.2017;16.12.2016;150000;0;;;;;0;30.07.2019;16.01.2017;1;2
301104;1;16.01.2017;19.12.2016;116000;0;;;;n 11912/2016;0;30.07.2019;16.01.2017;1;1
301109;1;16.01.2017;19.12.2016;88000;0;;;;;0;30.07.2019;16.01.2017;1;1
301123;1;16.01.2017;16.12.2016;2313;0;;;;;0;30.07.2019;16.01.2017;1;4
301160;1;16.01.2017;14.12.2016;29000;0;;;;;1;30.07.2019;16.01.2017;1;2
301162;1;16.01.2017;16.12.2016;112500;0;;;;;1;30.07.2019;16.01.2017;1;1
301164;1;16.01.2017;20.12.2016;32000;0;;;;;1;30.07.2019;16.01.2017;1;1
301176;1;16.01.2017;15.12.2016;85000;0;;;;N 11899/2016;1;30.07.2019;16.01.2017;1;3
301198;1;16.01.2017;19.12.2016;45000;0;;;;;0;30.07.2019;16.01.2017;1;1
301200;1;16.01.2017;12.12.2016;3000;0;;;;;0;30.07.2019;16.01.2017;1;2
301207;1;16.01.2017;12.12.2016;139350;0;;;;;1;30.07.2019;16.01.2017;1;2
301212;1;16.01.2017;07.12.2016;210;0;;;;;1;30.07.2019;16.01.2017;1;2
301226;1;16.01.2017;16.12.2016;47000;0;;;;;1;30.07.2019;16.01.2017;1;1
301238;1;16.01.2017;16.10.2016;3000;0;;;;;0;30.07.2019;16.01.2017;1;2
301247;1;16.01.2017;19.12.2016;40000;0;;;;;0;30.07.2019;16.01.2017;1;1
301271;2;16.01.2017;12.12.2016;102000;0;;;;;0;30.07.2019;16.01.2017;1;3
301286;1;16.01.2017;07.09.2016;2263,8;0;;;;11797;0;30.07.2019;16.01.2017;1;1
301299;1;16.01.2017;29.11.2016;15000;0;;;;;0;30.07.2019;16.01.2017;1;3
301308;1;16.01.2017;14.12.2016;4364,39;0;;;;N 11859/2016;0;30.07.2019;16.01.2017;1;3
301310;1;16.01.2017;14.12.2016;22000;0;;;;;0;30.07.2019;16.01.2017;1;1
301312;1;16.01.2017;16.12.2016;27000;0;;;;;0;30.07.2019;16.01.2017;1;1
301320;1;16.01.2017;08.12.2016;120000;0;;;;PV 11651/2016;0;30.07.2019;16.01.2017;1;2
301325;1;16.01.2017;09.12.2016;5500;0;;;;;0;30.07.2019;16.01.2017;1;1
301326;4;16.01.2017;14.12.2016;2117,33;0;;;;DPN 11828;0;16.01.2017;16.01.2017;1;4
301332;1;16.01.2017;02.11.2016;289,5;0;;;;;0;30.07.2019;16.01.2017;1;1
301347;1;16.01.2017;15.12.2016;160000;0;;;;N 11795/2016;1;30.07.2019;16.01.2017;1;1
301355;1;16.01.2017;16.12.2016;4000;0;;;;;1;30.07.2019;16.01.2017;1;1
301359;1;16.01.2017;13.12.2016;25000;0;;;;;0;30.07.2019;16.01.2017;1;3
301381;1;16.01.2017;16.12.2016;3000;0;;;;;0;30.07.2019;16.01.2017;1;3
301397;1;16.01.2017;06.12.2016;43;0;;;;;0;30.07.2019;16.01.2017;1;2
301401;1;16.01.2017;10.11.2016;1500;0;;;;;0;30.07.2019;16.01.2017;1;1
301413;1;16.01.2017;18.11.2016;7200;0;;;;;0;30.07.2019;16.01.2017;1;3
301433;1;16.01.2017;14.12.2016;43104;0;;;;;0;30.07.2019;16.01.2017;1;4
301437;1;16.01.2017;14.12.2016;1500;0;;;;;0;30.07.2019;16.01.2017;1;1
301440;1;16.01.2017;05.12.2016;55000;0;;;;11732/2016;0;30.07.2019;16.01.2017;1;1
301449;1;16.01.2017;14.12.2016;80000;0;;;;;0;02.06.2023;16.01.2017;1;1
301452;1;16.01.2017;21.07.2016;2500;0;;;;;0;30.07.2019;16.01.2017;1;1
301455;1;16.01.2017;30.11.2016;2500;0;;;;;0;30.07.2019;16.01.2017;1;2
301456;1;16.01.2017;10.12.2016;32000;0;;;;;0;30.07.2019;16.01.2017;1;1
301462;1;16.01.2017;09.12.2016;34000;0;;;;;0;30.07.2019;16.01.2017;1;1
301464;3;16.01.2017;07.12.2016;110000;0;;;;;0;30.07.2019;16.01.2017;1;3
301468;1;16.01.2017;06.12.2016;40000;0;;;;;0;30.07.2019;16.01.2017;1;2
301480;1;16.01.2017;13.12.2016;28500;0;;;;;0;30.07.2019;16.01.2017;1;2
301481;1;16.01.2017;09.12.2016;28000;0;;;;;0;30.07.2019;16.01.2017;1;3
301509;1;16.01.2017;13.12.2016;51000;0;;;;;1;30.07.2019;16.01.2017;1;1
301516;1;16.01.2017;05.12.2016;27000;0;;;;;1;30.07.2019;16.01.2017;1;2
301522;1;16.01.2017;09.12.2016;62500;0;;;;;0;30.07.2019;16.01.2017;1;1
301526;1;16.01.2017;12.12.2016;13000;0;;;;;0;30.07.2019;16.01.2017;1;1
301528;1;16.01.2017;12.12.2016;100000;0;;;;;0;30.07.2019;16.01.2017;1;1
301534;2;16.01.2017;26.09.2016;1200;0;;;;;0;30.07.2019;16.01.2017;1;3
301540;1;16.01.2017;08.12.2016;33000;0;;;;;0;30.07.2019;16.01.2017;1;1
301547;3;16.01.2017;07.12.2016;64687,28;0;;;;n 11619/2016;0;30.07.2019;16.01.2017;1;3
301552;1;16.01.2017;08.12.2016;45000;0;;;;N 11692/2016;1;30.07.2019;16.01.2017;1;1
301561;1;16.01.2017;15.11.2016;7200;0;;;;DPN 11706;0;30.07.2019;16.01.2017;1;3
301567;1;16.01.2017;08.12.2016;104000;0;;;;PV 11588/2016;0;30.07.2019;16.01.2017;1;2
