ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
548283;1;06.08.2021;19.03.2021;196013;1;4;;;;;05.04.2022;06.01.2022;1;3
555085;1;11.09.2021;30.07.2021;78000;0;;;;;;17.05.2022;17.05.2022;1;5
611414;1;26.11.2021;18.06.2021;392000;1;3;;;;;05.04.2022;07.03.2022;1;2
611417;1;03.12.2021;22.02.2021;248900;1;3;;;;;05.04.2022;17.03.2022;1;2
627662;1;03.12.2021;10.02.2021;398000;1;3;;;;;05.04.2022;17.03.2022;1;2
627671;1;03.12.2021;29.09.2020;269000;1;3;;;;;14.04.2022;14.04.2022;1;5
627678;1;03.12.2021;05.02.2021;300000;1;3;;;;;21.04.2023;14.04.2022;1;5
627680;1;03.12.2021;07.06.2021;398000;1;3;;;;;21.04.2023;17.03.2022;1;2
627682;1;03.12.2021;17.09.2020;269000;1;3;;;;;05.04.2022;17.03.2022;1;2
631305;1;20.12.2021;13.11.2020;248000;1;3;;;;;05.04.2022;18.03.2022;1;2
631562;1;27.12.2021;07.07.2020;144172,08;1;3;;;;;05.04.2022;15.03.2022;1;2
631768;2;03.01.2022;16.12.2021;26144,6;1;4;;;;;05.04.2022;03.01.2022;1;2
631876;2;05.01.2022;27.12.2021;41951,65;1;4;;;;;05.01.2022;05.01.2022;1;5
631912;1;06.01.2022;14.10.2021;166000;1;3;;;;;21.04.2023;06.01.2022;1;2
631988;1;07.01.2022;28.08.2020;225000;1;3;;;;;21.04.2023;07.01.2022;1;2
632032;1;10.01.2022;16.10.2021;20000;0;;;;;;05.04.2022;10.01.2022;1;2
632049;1;10.01.2022;30.10.2021;20000;0;;;;;;05.04.2022;10.01.2022;1;2
632086;1;10.01.2022;11.11.2021;93000;0;;;;;;05.04.2022;10.01.2022;1;2
632112;1;10.01.2022;28.10.2021;179990;0;;;;;;05.04.2022;10.01.2022;1;2
632124;1;10.01.2022;05.11.2021;52000;0;;;;;;05.04.2022;10.01.2022;1;2
632129;1;10.01.2022;05.11.2021;9950;0;;;;;;05.04.2022;10.01.2022;1;2
632133;1;10.01.2022;03.11.2021;48000;0;;;;;;05.04.2022;10.01.2022;1;3
632138;1;10.01.2022;13.09.2021;697,48;0;;;;;;05.04.2022;10.01.2022;1;4
632144;1;10.01.2022;12.11.2021;300000;0;;;;;;05.04.2022;10.01.2022;1;2
632161;1;10.01.2022;24.10.2021;70000;0;;;;;;05.04.2022;10.01.2022;1;2
632162;1;10.01.2022;11.11.2021;45000;0;;;;;;05.04.2022;10.01.2022;1;2
632163;1;10.01.2022;12.10.2021;92,47;0;;;;;;05.04.2022;10.01.2022;1;3
632167;1;10.01.2022;02.11.2021;1;0;;;;;;05.04.2022;10.01.2022;1;1
