ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
255982;1;27.03.2018;18.01.2016;71608;1;3;;;;0;02.06.2023;27.03.2018;1;4
302804;1;16.03.2018;29.11.2016;17000;0;;;;;0;30.07.2019;16.03.2018;1;2
312028;1;16.03.2018;30.01.2017;51000;0;;;;;1;30.07.2019;16.03.2018;1;1
316048;1;08.03.2018;15.02.2017;173500;1;3;;;;0;30.07.2019;08.03.2018;1;1
328716;3;08.03.2018;24.04.2017;113094;1;4;;;Za nepremičnino ni obračunan DDV na podlagi 76.a člena in 45.člena ZDDV-1, saj je predmet obrnjene davčne obveznosti, na podlagi katere je zavezanec za plačilo DDV kupec na osnovi samoobdavčitve (osnova: 92.700 EUR, znesek DDV: 20.394,00 EUR).;0;30.07.2019;08.03.2018;1;3
329846;1;06.03.2018;31.05.2017;17616,8;1;4;;;;0;30.07.2019;06.03.2018;1;2
338208;1;08.03.2018;18.03.2016;132900;1;3;;;Posel še ni dokončan, ni še dokončana gradnja po pogodbi in ni še prepisa stranke v zemljiško knjigo;1;30.07.2019;08.03.2018;1;3
339482;1;14.03.2018;25.03.2017;20769;0;;;;;0;30.07.2019;14.03.2018;1;1
342793;1;08.03.2018;19.09.2017;34180,74;1;4;;;;0;30.07.2019;08.03.2018;1;1
349883;1;14.03.2018;02.10.2017;20000;0;;;;;1;30.07.2019;14.03.2018;1;1
355420;1;14.03.2018;16.11.2017;75000;0;;;;dpn 11149;0;30.07.2019;14.03.2018;1;2
358496;1;03.01.2018;24.08.2017;308956,77;1;3;;;;0;30.07.2019;03.01.2018;1;2
358662;3;04.01.2018;04.10.2017;47580;1;4;;;DDV obračunan v skladu z določili 44. člena ZDDV-1 - stavbno zemljišče.;0;30.07.2019;04.01.2018;1;3
358724;1;04.01.2018;14.12.2017;4270;1;4;;;;0;30.07.2019;04.01.2018;1;2
358727;1;04.01.2018;03.01.2018;366000;1;4;;;;0;30.07.2019;04.01.2018;1;3
358744;3;04.01.2018;12.12.2017;732;1;4;;;;0;30.07.2019;04.01.2018;1;3
