ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
489515;1577;KOČEVJE;KOČEVJE;1168/18;1;;;1;;542;;
513433;184;GORNJA RADGONA;GORNJA RADGONA;175/24;6;;;1/1;;13;;
513433;184;GORNJA RADGONA;GORNJA RADGONA;175/25;6;;;1/1;;13;;
534884;2626;IZOLA;IZOLA;2434/16;2;;;1/1;;2467;;
547970;332;ORMOŽ;ORMOŽ;361/7;3;;;1/1;;933;;
550880;2508;SNEŽNIK;ILIRSKA BISTRICA;2056/6;5;;;1/1;;340;;
550881;2508;SNEŽNIK;ILIRSKA BISTRICA;2056/54;5;;;1/1;;338;;
556200;2508;SNEŽNIK;PIVKA;2056/50;5;;;1/1;;97;;
556203;2508;SNEŽNIK;ILIRSKA BISTRICA;2056/64;5;;;1/1;;295;;
639853;1074;SPODNJA HUDINJA;CELJE;478/5;2;;;1/1;;109;;
639854;1083;BUKOVŽLAK;CELJE;368/2;3;;;1/1;;88;;
644783;1188;DVOR;ŠMARJE PRI JELŠAH;208/1;7;;;1/1;;1732;;
644783;1188;DVOR;ŠMARJE PRI JELŠAH;208/2;1;;;1/1;;1907;;
646574;2490;POSTOJNA;POSTOJNA;240/10;3;;;1/3;;720;;
646574;2490;POSTOJNA;POSTOJNA;2871/8;3;;;1/6;;87;;
646574;2490;POSTOJNA;POSTOJNA;2871/10;3;;;1/6;;120;;
646574;2490;POSTOJNA;POSTOJNA;240/7;3;;;1/3;;3870;;
646574;2490;POSTOJNA;POSTOJNA;2870/5;3;;;1/6;;356;;
646574;2490;POSTOJNA;POSTOJNA;2870/7;3;;;1/6;;70;;
646574;2490;POSTOJNA;POSTOJNA;2871/7;3;;;1/6;;71;;
646574;2490;POSTOJNA;POSTOJNA;240/1;3;;;1/3;;746;;
646574;2490;POSTOJNA;POSTOJNA;2871/9;3;;;1/6;;104;;
646574;2490;POSTOJNA;POSTOJNA;240/12;3;;;1/3;;11;;
646574;2490;POSTOJNA;POSTOJNA;240/8;3;;;1/3;;637;;
646574;2490;POSTOJNA;POSTOJNA;240/11;3;;;1/3;;820;;
646574;2490;POSTOJNA;POSTOJNA;2870/3;3;;;1/6;;840;;
646574;2490;POSTOJNA;POSTOJNA;2871/5;3;;;1/6;;45;;
646574;2490;POSTOJNA;POSTOJNA;2871/6;3;;;1/6;;54;;
646574;2490;POSTOJNA;POSTOJNA;2870/1;3;;;1/6;;35;;
646574;2490;POSTOJNA;POSTOJNA;2870/8;3;;;1/6;;5401;;
646574;2490;POSTOJNA;POSTOJNA;2871/11;3;;;1/6;;374;;
646574;2490;POSTOJNA;POSTOJNA;240/9;3;;;1/3;;1176;;
646574;2490;POSTOJNA;POSTOJNA;2926;3;;;1/3;;3143;;
646574;2490;POSTOJNA;POSTOJNA;2871/4;3;;;1/6;;18;;
647792;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;350/1381;6;;;1/1;;12;;
647792;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;350/1382;6;;;1/1;;13;;
647918;2551;VELIKO BRDO;ILIRSKA BISTRICA;659/272;2;;;1/1;;87;;
651392;2557;OCIZLA;HRPELJE-KOZINA;6709;5;;;1/1;;158;;
651392;2557;OCIZLA;HRPELJE-KOZINA;4384/2;1;;;1/1;;404;;
653663;2143;TRŽIČ;TRŽIČ;349/3;1;;;1/50;;66;;
655382;1770;KAŠELJ;LJUBLJANA;1411/28;5;;;1/1;;308;;
655383;1770;KAŠELJ;LJUBLJANA;1411/41;5;;;1/1;;206;;
655383;1770;KAŠELJ;LJUBLJANA;1411/25;6;;;1/1;;18;;
655384;1770;KAŠELJ;LJUBLJANA;1411/42;5;;;1/1;;210;;
655384;1770;KAŠELJ;LJUBLJANA;1411/26;6;;;1/1;;19;;
655387;1770;KAŠELJ;LJUBLJANA;1411/38;5;;;1/1;;211;;
655395;1770;KAŠELJ;LJUBLJANA;1411/21;5;;;1/1;;212;;
655703;1073;TRNOVLJE;CELJE;385/13;2;;;1/1;;996;;
655703;1073;TRNOVLJE;CELJE;363/7;2;;;1/1;;419;;
655703;1073;TRNOVLJE;CELJE;363/9;2;;;1/1;;43;;
655703;1073;TRNOVLJE;CELJE;363/6;2;;;1/1;;693;;
656627;661;LIMBUŠ;MARIBOR;77/5;5;;;1/6;;233;;
656627;661;LIMBUŠ;MARIBOR;77/18;5;;;1/6;;827;;
657216;1864;SVIBNO;RADEČE;906/5;9;;;1/1;;9508;;
657216;1864;SVIBNO;RADEČE;906/10;9;;;1/1;;129654;;
657216;1864;SVIBNO;RADEČE;906/12;9;;;1/1;;;;
657216;1864;SVIBNO;RADEČE;913/3;9;;;1/1;;4234;;
658980;166;LENDAVA;LENDAVA;3403;5;;;1/1;;370;;
658980;166;LENDAVA;LENDAVA;3383;7;;;1/1;;1793;;
658980;166;LENDAVA;LENDAVA;3384;3;;;1/1;;1339;;
659565;1477;VRHPOLJE;ŠENTJERNEJ;3594/114;9;;;1/1;;80263;;
659565;1477;VRHPOLJE;ŠENTJERNEJ;3594/6;9;;;1/1;;82991;;
659565;1477;VRHPOLJE;ŠENTJERNEJ;3594/115;9;;;1/1;;;;
659565;1477;VRHPOLJE;ŠENTJERNEJ;3594/2;9;;;1/1;;431;;
659565;1477;VRHPOLJE;ŠENTJERNEJ;3594/5;9;;;1/1;;1597;;
659565;1477;VRHPOLJE;ŠENTJERNEJ;3594/84;9;;;1/1;;;;
659635;2155;HRAŠE;RADOVLJICA;350/1;5;;;1/1;;958;;
664256;805;DOBRAVA;RADLJE OB DRAVI;620/4;3;;;1/1;;;;
666376;1975;SPODNJE PIRNIČE;MEDVODE;108/2;3;;;1/1;;;;
666681;1789;PONOVA VAS;GROSUPLJE;1657/6;5;;;1/1;;;;
666926;1000;LEVEC;ŽALEC;97/90;3;;;1/1;;;;
666926;1000;LEVEC;ŽALEC;97/91;4;;;1/4;;;;
666926;1000;LEVEC;ŽALEC;97/92;4;;;1/4;;;;
668088;1748;SKARUČNA;VODICE;5/6;3;;;1/1;;;;
668088;1748;SKARUČNA;VODICE;17/13;3;;;1/1;;;;
668092;805;DOBRAVA;RADLJE OB DRAVI;620/3;3;;;1/1;;;;
668165;549;RADEHOVA;LENART;26/10;3;;;1/1;;;;
668552;407;MOŠKANJCI;GORIŠNICA;274/9;3;;;1/1;;;;
668552;407;MOŠKANJCI;GORIŠNICA;274/10;3;;;1/1;;;;
668552;407;MOŠKANJCI;GORIŠNICA;277/9;3;;;1/1;;;;
668552;407;MOŠKANJCI;GORIŠNICA;274/8;3;;;1/1;;;;
668552;407;MOŠKANJCI;GORIŠNICA;277/7;3;;;1/1;;;;
668870;344;DRBETINCI;SVETI ANDRAŽ V SLOV. GORICAH;332/6;2;;;1/1;;;;
668870;344;DRBETINCI;SVETI ANDRAŽ V SLOV. GORICAH;329/6;2;;;1/1;;;;
668870;344;DRBETINCI;SVETI ANDRAŽ V SLOV. GORICAH;331;2;;;1/1;;273;;
669008;964;VELENJE;VELENJE;2238/18;6;;;1/5;;;;
669008;964;VELENJE;VELENJE;2238/2;5;;;1/5;;2106;;
669008;964;VELENJE;VELENJE;2238/17;10;;;1/5;;;;
669085;1724;BREZOVICA;BREZOVICA;1124/51;3;;;1/1;;;;
669155;850;SLOVENJ GRADEC;SLOVENJ GRADEC;176/3;5;;;1/1;;;;
669155;850;SLOVENJ GRADEC;SLOVENJ GRADEC;176/2;5;;;1/1;;;;
669170;109;MARKIŠAVCI;MURSKA SOBOTA;468/3;5;;;1/1;;;;
669248;1711;TURJAK;VELIKE LAŠČE;955/1;3;;;1/1;;;;
669433;1964;IHAN;DOMŽALE;133/9;3;;;1/1;;;;
669443;2066;DOLENJA VAS;ŽELEZNIKI;190/23;3;;;1/1;;;;
669443;2066;DOLENJA VAS;ŽELEZNIKI;139/4;3;;;1/1;;;;
669856;854;PODGORJE;SLOVENJ GRADEC;1928/11;5;;;1/1;;;;
669856;854;PODGORJE;SLOVENJ GRADEC;1928/12;5;;;1/1;;;;
669856;854;PODGORJE;SLOVENJ GRADEC;1928/10;5;;;1/1;;;;
669929;1933;LUKOVICA;LUKOVICA;169/8;3;;;1/1;;;;
669929;1933;LUKOVICA;LUKOVICA;169/10;3;;;1/1;;;;
670058;1953;DRTIJA;MORAVČE;139/8;1;;;1/1;;;;
670058;1953;DRTIJA;MORAVČE;139/10;1;;;1/1;;;;
670365;1758;DRAGOMELJ;DOMŽALE;14/6;3;;;1/1;;;;
670667;1943;DOB;DOMŽALE;1280/5;3;;;1/1;;;;
670669;1943;DOB;DOMŽALE;1280/6;3;;;1/1;;;;
670782;1943;DOB;DOMŽALE;1280/4;3;;;1/1;;;;
670820;2481;VELIKA BRDA;POSTOJNA;1503/6;1;;;1/1;;;;
671808;1700;IG;IG;2892;3;;;321/761;;;;
671809;1700;IG;IG;2889;3;;;1/1;;;;
671809;1700;IG;IG;2891;3;;;1/1;;;;
671809;1700;IG;IG;2890;3;;;1/1;;;;
671809;1700;IG;IG;2892;3;;;440/761;;;;
671942;1482;RAGOVO;NOVO MESTO;284/97;3;;;1/1;;;;
671942;1482;RAGOVO;NOVO MESTO;284/95;3;;;1/1;;;;
671942;1482;RAGOVO;NOVO MESTO;284/98;3;;;1/1;;;;
671942;1482;RAGOVO;NOVO MESTO;284/100;3;;;1/1;;;;
671942;1482;RAGOVO;NOVO MESTO;284/96;3;;;1/1;;;;
671942;1482;RAGOVO;NOVO MESTO;284/94;3;;;1/1;;;;
671942;1482;RAGOVO;NOVO MESTO;284/99;3;;;1/1;;;;
672013;756;ZGORNJA LOŽNICA;SLOVENSKA BISTRICA;690/4;3;;;1/1;;;;
672022;660;STUDENCI;MARIBOR;264/7;1;;;1/1;;;;
672024;660;STUDENCI;MARIBOR;264/8;5;;;1/1;;;;
672027;723;PODOVA;RAČE-FRAM;258/6;1;;;1/1;;;;
672027;723;PODOVA;RAČE-FRAM;258/7;1;;;1/1;;;;
672065;2023;ŽIRI;ŽIRI;1449/20;3;;;1/1;;;;
672146;682;ZRKOVCI;MARIBOR;813/23;3;;;1/1;;;;
672300;1009;OJSTRIŠKA VAS;TABOR;1687;7;;;482/1701;;;;
672300;1009;OJSTRIŠKA VAS;TABOR;397;7;;;2215/3291;;3291;;
672328;660;STUDENCI;MARIBOR;179/4;1;;;1/1;;;;
672329;660;STUDENCI;MARIBOR;179/5;1;;;1/1;;;;
672361;1959;DOMŽALE;DOMŽALE;1580/6;5;;;1/1;;;;
672430;1107;TEPANJE;SLOVENSKE KONJICE;1059/15;3;;;1/1;;;;
672661;203;OČESLAVCI;GORNJA RADGONA;355/10;1;;;1/1;;;;
672712;1515;METLIKA;METLIKA;4010/231;1;;;1/1;;;;
