ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
550880;1;17.01.2023;02.08.2021;12921,02;1;4;;;;;19.04.2023;17.01.2023;1;5
639853;2;22.06.2023;21.01.2022;3989,4;1;4;;;;;22.06.2023;22.06.2023;1;5
639854;2;22.06.2023;22.02.2022;3284,14;1;4;;;;;22.06.2023;22.06.2023;1;5
653663;1;09.03.2023;21.04.2022;2000;0;;;;FURS_prodana parc  349/3 so imeli odločbo, vendar sistem ni dovolil vnosa prave parcele. 9/3/23 JPC;;19.04.2023;09.03.2023;1;5
655703;2;22.06.2023;14.04.2022;115290;1;4;;;;;22.06.2023;22.06.2023;1;5
658980;1;09.03.2023;13.05.2022;10000;0;;;;FURS_ pomotoma so vpisali parcelo 2x. brisali, 9/3/23 JPC;;19.04.2023;09.03.2023;1;5
659635;1;09.03.2023;07.06.2022;106000;0;;;;FURS: pomotoma 2x vnos iste parcele, 9/3/23 JPC;;19.04.2023;09.03.2023;1;5
666376;1;06.03.2023;12.08.2022;240000;0;;;;;;30.08.2023;06.03.2023;1;5
669248;1;06.03.2023;05.09.2022;75100;0;;;;;;30.08.2023;06.03.2023;1;5
670667;1;06.03.2023;21.09.2022;15965;0;;;;;;30.08.2023;06.03.2023;1;5
670669;1;06.03.2023;21.09.2022;14729;0;;;;;;30.08.2023;06.03.2023;1;5
670782;1;06.03.2023;22.09.2022;88889;0;;;;;;30.08.2023;06.03.2023;1;5
672013;1;06.03.2023;20.09.2022;29000;0;;;;;;30.08.2023;06.03.2023;1;5
672361;1;06.03.2023;28.09.2022;190000;0;;;;;;12.05.2023;06.03.2023;1;5
673040;1;06.03.2023;30.09.2022;269280;0;;;;;;30.08.2023;06.03.2023;1;5
673912;1;08.03.2023;10.10.2022;305000;0;;;;;;30.08.2023;08.03.2023;1;5
673946;1;06.03.2023;17.10.2022;30000;0;;;;;;30.08.2023;06.03.2023;1;5
674024;1;06.03.2023;20.10.2022;60000;0;;;;;;12.05.2023;06.03.2023;1;5
