ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
249291;844;ŠENTJANŽ PRI DRAVOGRADU;DRAVOGRAD;327/25;5;;;1/1;;4;;
249291;844;ŠENTJANŽ PRI DRAVOGRADU;DRAVOGRAD;327/24;5;;;1/1;;260;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1014;7;;;1/1;;183;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1017;9;;;1/1;;608;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1015;9;;;1/1;;712;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1011;9;;;1/1;;237;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1004/2;9;;;1/1;;608;;
311660;1537;BUKOVA GORA;ČRNOMELJ;*109;9;;;1/1;;367;;
311660;1537;BUKOVA GORA;ČRNOMELJ;*108;9;;;1/1;;83;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1013;9;;;1/1;;1385;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1020;9;;;1/1;;212;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1016;9;;;1/1;;813;;
311660;1537;BUKOVA GORA;ČRNOMELJ;1018;9;;;1/1;;2187;;
312656;1432;KORITA;TREBNJE;758/1;8;1;7;1/1;;510;;
312656;1432;KORITA;TREBNJE;759;7;;;1/1;;1238;;
316498;2597;OSP;KOPER;3254;4;;;1/1;;30;;
321877;1830;AMBRUS;IVANČNA GORICA;1768/84;7;;;1/1;;;;
328343;1961;TRZIN;TRZIN;1244/184;5;;;1/1;;1250;;
328343;1961;TRZIN;TRZIN;1244/98;5;;;1/1;;2500;;
328343;1961;TRZIN;TRZIN;1244/251;5;;;1/1;;375;;
328343;1961;TRZIN;TRZIN;1244/330;5;;;1/1;;875;;
328348;1738;DRAVLJE;LJUBLJANA;803/5;5;;;1/1;;71;;
328348;1738;DRAVLJE;LJUBLJANA;803/4;5;;;1/1;;640;;
328348;1738;DRAVLJE;LJUBLJANA;803/1;5;;;1/1;;1585;;
328348;1738;DRAVLJE;LJUBLJANA;798/7;5;;;1/1;;1956;;
337488;2545;PODGRAJE;ILIRSKA BISTRICA;308/3;1;;;1/1;;744;;
339597;1307;CERINA;BREŽICE;95;7;;;1/1;;8530;;
339597;1307;CERINA;BREŽICE;188;7;;;1/1;;1270;;
339597;1307;CERINA;BREŽICE;189;7;;;1/1;;2475;;
339597;1307;CERINA;BREŽICE;187/3;7;;;1/1;;8151;;
339597;1307;CERINA;BREŽICE;187/6;5;;;1/1;;14;;
340464;2511;KNEŽAK;ILIRSKA BISTRICA;1470/2;7;;;1/1;;25;;
340464;2511;KNEŽAK;ILIRSKA BISTRICA;1470/1;7;;;1/1;;173;;
344824;1958;BREZOVICA;DOMŽALE;541;7;;;1/1;;2356;;
344824;1945;KRTINA;DOMŽALE;905;7;;;1/1;;78;;
344824;1958;BREZOVICA;DOMŽALE;564;5;;;1/1;;1111;;
344824;1958;BREZOVICA;DOMŽALE;566/2;5;;;1/1;;255;;
344824;1945;KRTINA;DOMŽALE;890;7;;;1/1;;8001;;
344824;1958;BREZOVICA;DOMŽALE;565/1;5;;;1/1;;601;;
344824;1945;KRTINA;DOMŽALE;888;7;;;1/1;;736;;
344824;1958;BREZOVICA;DOMŽALE;527;7;;;1/1;;1644;;
344824;1958;BREZOVICA;DOMŽALE;566/3;7;;;1/1;;148;;
344824;1945;KRTINA;DOMŽALE;904;7;;;1/1;;13595;;
346023;2410;SVETO;KOMEN;1503/4;8;1;20;1/1;;2089;;
349447;846;GRADIŠČE;SLOVENJ GRADEC;132/20;1;;;1/2;;93;;
349447;846;GRADIŠČE;SLOVENJ GRADEC;132/18;1;;;2/6;;8;;
349447;846;GRADIŠČE;SLOVENJ GRADEC;132/6;1;;;1/2;;89;;
349447;846;GRADIŠČE;SLOVENJ GRADEC;132/21;1;;;1/1;;52;;
349447;846;GRADIŠČE;SLOVENJ GRADEC;132/22;1;;;1/1;;727;;
349447;846;GRADIŠČE;SLOVENJ GRADEC;132/23;1;;;1/1;;323;;
351960;2167;RATEČE;KRANJSKA GORA;1240/14;9;;;1/2;;19941;;
355807;1515;METLIKA;METLIKA;2913;7;;;1/1;;4201;;
355807;1515;METLIKA;METLIKA;2969;5;;;1/1;;768;;
355807;1515;METLIKA;METLIKA;2968/2;5;;;1/1;;503;;
355807;1515;METLIKA;METLIKA;2989;7;;;1/1;;4269;;
355807;1515;METLIKA;METLIKA;3404;9;;;1/1;;6043;;
355807;1515;METLIKA;METLIKA;3135;9;;;1/1;;1906;;
355807;1515;METLIKA;METLIKA;3013;7;;;1/1;;4330;;
355807;1515;METLIKA;METLIKA;2915;7;;;1/1;;4676;;
355807;1515;METLIKA;METLIKA;2968/1;7;;;1/1;;1332;;
355807;1515;METLIKA;METLIKA;2916;7;;;1/1;;266;;
355807;1515;METLIKA;METLIKA;3149;9;;;1/1;;1185;;
355807;1515;METLIKA;METLIKA;3136;9;;;1/1;;2244;;
355812;1958;BREZOVICA;DOMŽALE;151/2;7;;;1/1;;1291;;
357547;2167;RATEČE;KRANJSKA GORA;506/4;5;;;1/1;;28;;
357547;2167;RATEČE;KRANJSKA GORA;506/3;5;;;1/1;;181;;
357548;1394;BUČKA;ŠKOCJAN;1645;7;;;14/16;;3960;;
357548;1394;BUČKA;ŠKOCJAN;1723/1;7;;;14/16;;3031;;
357548;1394;BUČKA;ŠKOCJAN;1718;7;;;14/16;;950;;
357548;1394;BUČKA;ŠKOCJAN;1222;7;;;14/16;;288;;
357548;1394;BUČKA;ŠKOCJAN;1707;7;;;14/16;;2158;;
357548;1394;BUČKA;ŠKOCJAN;1224;7;;;14/16;;7193;;
357548;1394;BUČKA;ŠKOCJAN;1725;7;;;14/16;;1665;;
357548;1394;BUČKA;ŠKOCJAN;1223;7;;;14/16;;3359;;
357548;1394;BUČKA;ŠKOCJAN;1225;7;;;14/16;;7528;;
357548;1394;BUČKA;ŠKOCJAN;1723/2;7;;;14/16;;562;;
357548;1394;BUČKA;ŠKOCJAN;1644;7;;;14/16;;1518;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;896;7;;;30/45;;7089;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;888;7;;;30/45;;1910;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;884;7;;;30/45;;7470;;
357646;1994;DOBROVA;DOBROVA-POLHOV GRADEC;881;5;;;30/45;;3032;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;898;7;;;30/45;;6949;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;886;7;;;30/45;;26802;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;876;7;;;30/45;;70638;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;890;7;;;30/45;;2751;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;883;7;;;30/45;;2446;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;879;7;;;30/45;;2636;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;874;7;;;30/45;;33679;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;880;7;;;30/45;;30162;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;882;7;;;30/45;;5078;;
357646;1985;ČRNI VRH;DOBROVA-POLHOV GRADEC;885;7;;;30/45;;5888;;
361663;2579;PODGRAD;ILIRSKA BISTRICA;2468;5;;;1/1;;74;;
361663;2579;PODGRAD;ILIRSKA BISTRICA;42;5;;;5/6;;145;;
369467;1324;RAVNE;KRŠKO;1236/1;7;;;1/1;;1224;;
369467;1324;RAVNE;KRŠKO;1245/1;7;;;1/1;;1984;;
369467;1324;RAVNE;KRŠKO;1237;5;;;1/1;;640;;
369893;1519;PODZEMELJ;METLIKA;36/10;7;;;1/6;;349;;
369893;1519;PODZEMELJ;METLIKA;*14/2;1;;;1/6;;83;;
369893;1519;PODZEMELJ;METLIKA;36/11;7;;;1/6;;4341;;
369893;1519;PODZEMELJ;METLIKA;36/13;7;;;1/6;;1803;;
369893;1519;PODZEMELJ;METLIKA;272;7;;;1/6;;2456;;
