ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
-673291;1;03.02.2014;07.02.2013;125000;0;;;;;;23.07.2015;03.02.2014;1;4
-673274;1;03.02.2014;05.02.2013;2349,35;0;;;;;;23.07.2015;03.02.2014;1;4
-673267;1;03.02.2014;29.01.2013;73000;0;;;;;;23.07.2015;03.02.2014;1;4
-673265;1;03.02.2014;01.02.2013;32000;0;;;;;;23.07.2015;03.02.2014;1;4
-673264;1;03.02.2014;11.02.2013;8000;0;;;;;;23.07.2015;03.02.2014;1;4
-673257;1;03.02.2014;25.01.2013;79000;0;;;;;;23.07.2015;03.02.2014;1;4
-673254;1;03.02.2014;06.02.2013;69000;0;;;;;;23.07.2015;03.02.2014;1;4
-673250;1;03.02.2014;21.01.2013;130000;0;;;;;;23.07.2015;03.02.2014;1;4
-673227;1;03.02.2014;31.01.2013;87000;0;;;;;;23.07.2015;03.02.2014;1;4
-673226;1;03.02.2014;23.01.2013;90000;0;;;;;;23.07.2015;03.02.2014;1;4
-673223;1;03.02.2014;31.01.2013;60000;0;;;;;;23.07.2015;03.02.2014;1;4
-673218;1;03.02.2014;17.01.2013;85000;0;;;;;;23.07.2015;03.02.2014;1;4
-673216;1;03.02.2014;29.01.2013;18500;0;;;;;;23.07.2015;03.02.2014;1;4
-673215;1;03.02.2014;11.01.2013;48000;0;;;;;;23.07.2015;03.02.2014;1;4
-673211;1;03.02.2014;28.01.2013;143000;0;;;;;;23.07.2015;03.02.2014;1;4
-673202;1;03.02.2014;24.01.2013;73250;0;;;;;;23.07.2015;03.02.2014;1;4
-673197;1;03.02.2014;10.01.2013;64000;0;;;;;;23.07.2015;03.02.2014;1;4
-673191;1;03.02.2014;12.01.2013;62500;0;;;;;;23.07.2015;03.02.2014;1;4
-673187;1;03.02.2014;17.01.2013;190000;0;;;;;;23.07.2015;03.02.2014;1;4
-673169;1;03.02.2014;11.01.2013;65000;0;;;;;;23.07.2015;03.02.2014;1;4
-673158;2;03.02.2014;07.01.2013;75000;0;;;;;;23.07.2015;03.02.2014;1;4
-673078;1;24.01.2014;28.06.2013;2400;0;;;;PRODAJNA POGODBA, IZPIS IZ REN-A, SKLEP O DEDOVANJU;;23.07.2015;24.01.2014;1;4
-673077;1;24.01.2014;09.05.2013;46000;0;;;;;;23.07.2015;24.01.2014;1;4
-673076;1;24.01.2014;29.05.2013;9,7;0;;;;;;23.07.2015;24.01.2014;1;4
