ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
812774;362;DOLIČ;DESTRNIK;55;1;;;1;DOLIČ;DOLIČ;41;;;1;1964;1;;;161;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;161;116,1; bivalni prostor | klet | prostor z omejeno uporabo | shramba, sušilnica, pralnica;;
813402;1725;AJDOVŠČINA;LJUBLJANA;596;325;;;1;;;;;;3;2023;1;;1;13,2;1/1;;;;;0;;;16 - garažno parkirno mesto;klet;;13,2;13,2; garažni parkirni prostor;;
813036;1738;DRAVLJE;LJUBLJANA;3318;118;;;1;;;;;;4;2008;1;;;12,9;1/1;;;;;0;;;15 - garaža;;;;;-;;
809242;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;1902;1;;;1;LJUBLJANA;POD HRASTI;62;;;1;1972;1;;;105;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;103,2;87,7; bivalni prostor | tehnični prostor;;
808057;676;PEKRE;MARIBOR;1921;4;;;1;PEKRE;ULICA KURTA KANCLERJA;3;;4;2;2023;1;;1;73,3;1/1;;;;;0;;;2 - stanovanje;nadstropje;;73,3;62,4; bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
809754;1363;RADEŽ;SEVNICA;134;1;;;1;;;;;;13;1962;1;;;308,4;1/1;;;;;0;;;27 - hlev;pritličje;;308,4;308,4; kmetijski prostor;;
808340;400;PTUJ;PTUJ;5375;50;;;1;;;;;;3;2023;1;;1;15,3;1/1;;;;;0;;;16 - garažno parkirno mesto;klet;;15,3;15,3; garažni parkirni prostor;;
810099;38;GRAD;GRAD;605;1;;;1;GRAD;GRAD;22;;;1;1933;1;;;54,9;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;54,9;44; bivalni prostor | klet;;
791844;657;MARIBOR-GRAD;MARIBOR;741;13;;;1;MARIBOR;PARTIZANSKA CESTA;59;;13;2;1964;1;;;68,5;1/1;;;;;0;;;2 - stanovanje;nadstropje;;68,5;66,4; bivalni prostor | klet | odprta terasa, balkon, loža;;
808053;676;PEKRE;MARIBOR;1921;12;;;1;PEKRE;ULICA KURTA KANCLERJA;3;;11;2;2023;1;;1;154,7;1/1;;;;;0;;;2 - stanovanje;nadstropje;;154,7;119; bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
809252;1002;KASAZE;ŽALEC;308;7;;;1;KASAZE;KASAZE;35;;7;2;1880;1;;;51,1;1/1;;;;;0;;;2 - stanovanje;nadstropje;;51,1;20; bivalni prostor | klet;;
810125;388;ROGOZNICA;PTUJ;309;1;;;1;;;;;;13;1930;1;;;70;1/1;;;;;0;;;28 - pomožni kmetijski del stavbe;pritličje;;70;70; kmetijski prostor;;
808872;2106;VISOKO;ŠENČUR;367;1;;;1;VISOKO;VISOKO;119;;1;2;1978;1;;;142;1/1;;;;;0;;;2 - stanovanje;pritličje;;142;123,2; bivalni prostor | klet | odprta terasa, balkon, loža;;
811768;1652;RAKITNA;BREZOVICA;479;1;;;1;RAKITNA;RAKITNA;206;;;1;1966;1;;;23;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;23;23; bivalni prostor;;
812733;2004;BOROVNICA;BOROVNICA;830;1;;;1;BOROVNICA;LJUBLJANSKA CESTA;52;;;2;1920;1;;;80;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;80;60; bivalni prostor | klet | shramba, sušilnica, pralnica;;
811532;1739;ZGORNJA ŠIŠKA;LJUBLJANA;6865;1;;;1;LJUBLJANA;KOLMANOVA ULICA;7;A;;2;1964;1;;;103,3;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;103,3;28; bivalni prostor | klet | odprta terasa, balkon, loža;;
808829;1077;CELJE;CELJE;70;3;;;1;CELJE;ČOPOVA ULICA;3;;3;2;1965;1;;;70,4;1/1;;;;;0;;;2 - stanovanje;nadstropje;;70,4;69,2; bivalni prostor | klet;;
809978;1737;TABOR;LJUBLJANA;122;468;;;1;LJUBLJANA;METELKOVA ULICA;11;;;3;1998;1;;;12;1/1;;;;;0;;;16 - garažno parkirno mesto;klet;;12;12; garažni parkirni prostor;;
812533;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;4416;6;;;1;LJUBLJANA;TRNOVSKI PRISTAN;12;;53;14;1985;1;;;1,3;1/1;;;;;0;;;33 - klet;klet;;1,3;1,3; klet;;
809438;1723;VIČ;LJUBLJANA;9633;68;;;1;LJUBLJANA;VIŠKA CESTA;27;;74;2;2008;1;;;82,8;1/1;;;;;0;;;2 - stanovanje;nadstropje;;82,8;60,5; bivalni prostor;;
808679;2122;HUJE;KRANJ;228;2;;;1;KRANJ;VREČKOVA ULICA;2;;2;2;1975;1;;;71,7;1/1;;;;;0;;;2 - stanovanje;nadstropje;;71,7;53,6; bivalni prostor | klet | zaprta terasa, balkon, loža;;
811117;1740;SPODNJA ŠIŠKA;LJUBLJANA;3614;444;;;1;;;;;;3;2019;1;;;13,3;1/1;;;;;0;;;16 - garažno parkirno mesto;klet;;13,3;13,3; garažni parkirni prostor;;
812200;2606;SEMEDELA;KOPER;1276;18;;;1;KOPER;ŠMARSKA CESTA;5;C;18;2;2000;1;;;23,3;1/1;;;;;0;;;2 - stanovanje;nadstropje;;23,3;23,3; bivalni prostor;;
810343;1077;CELJE;CELJE;1678;17;;;1;CELJE;KOCBEKOVA ULICA;1;;17;14;1940;1;;;90;1/1;;;;;0;;;33 - klet;klet;;90;0; klet;;
809162;1993;ZAKLANEC;HORJUL;185;1;;;1;PODOLNICA;PODOLNICA;2;;;1;1953;1;;;147,1;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;147,1;59,5; bivalni prostor | klet;;
808840;124;GRADIŠČE;TIŠINA;279;1;;;1;;;;;;4;1997;1;;;155,5;1/1;;;;;0;;;15 - garaža;pritličje;;155,5;155,5; garaža;;
811105;2571;KOVČICE;HRPELJE-KOZINA;81;1;;;1;;;;;;13;1966;1;;;54;1/1;;;;;0;;;28 - pomožni kmetijski del stavbe;pritličje;;54;54; kmetijski prostor;;
811682;948;TOPOLŠICA;ŠOŠTANJ;231;1;;;1;;;;;;4;1990;1;;;44,2;1/3;;;;;0;;;15 - garaža;pritličje;;44,2;44,2; garaža;;
812153;2434;VOGLJE;SEŽANA;243;1;;;1;;;;;;15;1987;1;;;593;1/1;;;;;0;;;21 - skladišče;pritličje;;593;593; proizvodni in skladiščni prostor;;
809779;1890;ČRNA;KAMNIK;155;1;;;1;VELIKA PLANINA;VELIKA PLANINA;29;;;2;1989;1;;;93,9;1/1;;;;;0;;;47 - stanovanje v dvostanovanjski stavbi;pritličje;;93,9;54,6; bivalni prostor | klet;;
789877;400;PTUJ;PTUJ;5375;25;;;1;;;;;;3;2023;1;;1;14,5;1/1;;;;;0;;;16 - garažno parkirno mesto;klet;;14,5;14,5; garažni parkirni prostor;;
812783;1901;MLAKA;KOMENDA;437;6;;;1;GMAJNICA;GMAJNICA;237;;6;2;2009;1;;;64,8;1/1;;;;;0;;;2 - stanovanje;nadstropje;;64,8;52,6; bivalni prostor | klet | odprta terasa, balkon, loža;;
809245;1737;TABOR;LJUBLJANA;2027;82;;;1;;;;;;15;2021;1;;;4,5;1/1;;;;;0;;;33 - klet;klet;;4,5;4,5; klet;;
809925;665;RUŠE;RUŠE;1887;4;;;1;RUŠE;AREŠKA CESTA;11;;4;2;1962;1;;;40;1/1;;;;;0;;;2 - stanovanje;nadstropje;;40;34,5; bivalni prostor;;
809508;2035;ŠKOFJA LOKA;ŠKOFJA LOKA;639;9;;;1;ŠKOFJA LOKA;KAPUCINSKI TRG;8;;8;6;1974;1;;;36,6;1/1;;;;;0;;;49 - banka, pošta, zavarovalnica;pritličje;;36,6;36,6; poslovni prostor;;
811339;1707;IŠKA VAS;IG;896;1;;;1;;;;;;13;2003;1;;;18,3;1/4;;;;;0;;;28 - pomožni kmetijski del stavbe;pritličje;;18,3;18,3; kmetijski prostor;;
809845;1723;VIČ;LJUBLJANA;4622;1;;;1;;;;;;13;1995;1;;;15;1/2;;;;;0;;;28 - pomožni kmetijski del stavbe;;;15;15; kmetijski prostor;;
813016;2143;TRŽIČ;TRŽIČ;1006;2;;;1;;;;;2;4;1986;1;;;19,5;2/10;;;;;0;;;15 - garaža;;;;;-;;
