ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
789877;1;09.01.2024;22.11.2023;180000;1;3;;;Prodaja stanovanja na naslovu Potrčeva cesta 56, 2250 Ptuj, stanovanje št. 101 s pripadajočo shrambo, atrijem in zunanjim parkiriščem ID 400-5375-101, teraso posamezni del št. 116, ID 400-5375-116, ter garažno mesto v kleti, posamezni del št. 25, ID 400-5375-25. Račun št.: 23-0054.;;09.01.2024;09.01.2024;1;5
790165;1;23.01.2024;13.10.2023;27500;0;;;;;;23.01.2024;23.01.2024;1;5
791294;1;23.01.2024;12.10.2023;162000;0;;;;;;23.01.2024;23.01.2024;1;5
791382;1;23.01.2024;08.11.2023;60000;0;;;;;;23.01.2024;23.01.2024;1;5
791782;1;26.01.2024;07.11.2023;11611;0;;;;;;26.01.2024;26.01.2024;1;5
791931;1;26.01.2024;18.11.2023;110000;0;;;;;;26.01.2024;26.01.2024;1;5
792273;1;24.01.2024;16.11.2023;40000;0;;;;;;24.01.2024;24.01.2024;1;5
792478;1;23.01.2024;24.11.2023;170000;0;;;;;;23.01.2024;23.01.2024;1;5
792525;1;23.01.2024;29.11.2023;45000;0;;;;;;23.01.2024;23.01.2024;1;5
808124;2;04.01.2024;23.11.2023;12125,58;1;4;;;;;04.01.2024;04.01.2024;1;5
808126;2;04.01.2024;01.12.2023;1586;1;4;;;;;04.01.2024;04.01.2024;1;5
808207;2;05.01.2024;21.11.2023;5354,58;1;4;;;Pri obdavčitvi se je uporabila pravica do izbire obdavčitve in mehanizem obrnjene davčne obveznosti (45. in 76. a člen ZDDV-1) in je DDV obračunal kupec.;;05.01.2024;05.01.2024;1;5
808230;1;06.01.2024;14.09.2023;9760;1;4;;;;;06.01.2024;06.01.2024;1;5
808441;1;11.01.2024;05.12.2022;110000;1;3;;;;;11.01.2024;11.01.2024;1;5
808479;1;12.01.2024;17.02.2023;106280;1;3;;;;;12.01.2024;12.01.2024;1;5
808482;1;12.01.2024;15.02.2023;117000;1;3;;;;;12.01.2024;12.01.2024;1;5
808543;1;15.01.2024;18.09.2023;100000;0;;;;;;19.01.2024;15.01.2024;1;5
808557;1;15.01.2024;09.10.2017;7000;0;;;;;;19.01.2024;15.01.2024;1;5
808564;1;15.01.2024;23.10.2023;478240;0;;;;;;19.01.2024;15.01.2024;1;5
808567;1;15.01.2024;20.10.2023;2000;0;;;;;;19.01.2024;15.01.2024;1;5
808572;1;15.01.2024;07.11.2023;60000;0;;;;;;19.01.2024;15.01.2024;1;5
808579;1;15.01.2024;16.10.2023;155000;0;;;;;;19.01.2024;15.01.2024;1;5
808585;1;15.01.2024;06.11.2023;4867,01;0;;;;;;19.01.2024;15.01.2024;1;5
808597;1;15.01.2024;10.11.2023;12000;0;;;;;;19.01.2024;15.01.2024;1;5
808605;1;15.01.2024;25.10.2023;35000;0;;;;;;19.01.2024;15.01.2024;1;5
808614;1;15.01.2024;09.11.2023;74000;0;;;;;;19.01.2024;15.01.2024;1;5
808632;1;15.01.2024;10.11.2023;28000;0;;;;;;19.01.2024;15.01.2024;1;5
808633;1;15.01.2024;09.11.2023;165000;0;;;;;;19.01.2024;15.01.2024;1;5
808638;1;15.01.2024;28.11.2023;75000;0;;;;;;19.01.2024;15.01.2024;1;5
808659;1;15.01.2024;05.12.2023;1800;0;;;;;;19.01.2024;15.01.2024;1;5
808666;1;15.01.2024;27.11.2023;12600;0;;;;;;19.01.2024;15.01.2024;1;5
808669;1;15.01.2024;16.11.2023;4500;0;;;;;;19.01.2024;15.01.2024;1;5
808671;1;15.01.2024;04.12.2023;17000;0;;;;;;19.01.2024;15.01.2024;1;5
808673;1;15.01.2024;01.12.2023;105000;0;;;;;;19.01.2024;15.01.2024;1;5
