ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
398317;1;13.02.2020;30.08.2018;55000;0;;;;;;05.04.2022;13.02.2020;1;1
427534;1;13.02.2020;15.03.2019;180000;0;;;;;;05.04.2022;13.02.2020;1;1
442575;1;15.07.2020;31.07.2019;285000;0;;;;PV 7534/2019;;05.04.2022;15.07.2020;1;2
456327;1;13.12.2019;05.11.2019;501647,62;1;5;;;;;02.10.2020;02.10.2020;1;5
456395;1;13.12.2019;01.10.2018;364557,66;1;3;;;Prvotna vrednost pogodbe 382.776,96 €. Zmanjšanje na podlagi aneksa št. 2.;;05.04.2022;02.10.2020;1;2
476263;1;04.01.2020;04.11.2019;73400;1;3;;;;;05.04.2022;04.01.2020;1;2
476322;1;07.01.2020;24.04.2019;227000;1;3;;;;;05.04.2022;07.01.2020;1;2
476325;1;07.01.2020;09.10.2019;250000;1;3;;;;;05.04.2022;07.01.2020;1;2
476334;1;07.01.2020;23.05.2019;265000;1;3;;;;;05.04.2022;07.01.2020;1;2
476338;1;07.01.2020;08.03.2019;244700;1;3;;;;;05.04.2022;07.01.2020;1;2
476343;1;07.01.2020;07.08.2019;158000;1;3;;;;;05.04.2022;07.01.2020;1;2
476394;2;08.01.2020;18.12.2019;39369,4;1;4;;;;;05.04.2022;08.01.2020;1;2
476453;1;08.01.2020;09.12.2019;580,72;1;4;;;;;05.04.2022;08.01.2020;1;2
476455;1;08.01.2020;09.10.2019;1280;1;4;;;;;05.04.2022;08.01.2020;1;1
476472;3;14.01.2020;20.11.2019;1158000;1;4;;;neto cena za vse nepremičnine je 1.158.000,00 EUR DDV je oproščen po 7. točki 44. člena ZDDV-1 oz. sta se stranki posla po 45. členu ZDDV-1 dogovorili, da se DDV po 22 % stopnji le obračuna, saj sta obe stranki zavezanki za DDV in se strinjata, da gre za dobavo nepremičnin, kjer se uporablja mehanizem obrnjene davčne obveznosti po 76.a členu ZDDV-1;;05.04.2022;14.01.2020;1;3
476499;1;09.01.2020;23.12.2019;91897,88;1;3;;;;;05.04.2022;09.01.2020;1;2
476533;1;10.01.2020;09.09.2019;3240;0;;;;;;05.04.2022;10.01.2020;1;3
476540;1;10.01.2020;07.10.2019;63000;0;;;;;;05.04.2022;10.01.2020;1;3
476548;1;10.01.2020;09.10.2019;11808,7;0;;;;;;05.04.2022;10.01.2020;1;1
476570;1;10.01.2020;28.10.2019;290000;0;;;;;;05.04.2022;10.01.2020;1;3
476580;1;10.01.2020;24.04.2019;5000;0;;;;;;05.04.2022;10.01.2020;1;2
476617;1;10.01.2020;13.11.2019;80000;0;;;;;;05.04.2022;10.01.2020;1;1
476630;1;10.01.2020;23.08.2019;11000;0;;;;;;05.04.2022;10.01.2020;1;1
476650;1;10.01.2020;14.11.2019;22500;0;;;;;;05.04.2022;10.01.2020;1;1
476653;1;10.01.2020;15.11.2019;99000;0;;;;;;05.04.2022;10.01.2020;1;1
476656;1;10.01.2020;13.11.2019;145000;0;;;;;;05.04.2022;10.01.2020;1;2
476663;1;10.01.2020;25.10.2019;21615;0;;;;;;05.04.2022;10.01.2020;1;2
476666;1;10.01.2020;12.11.2019;120;0;;;;;;05.04.2022;10.01.2020;1;3
476672;1;10.01.2020;04.11.2019;2100;0;;;;;;05.04.2022;10.01.2020;1;3
476688;1;10.01.2020;18.11.2019;31000;0;;;;;;05.04.2022;10.01.2020;1;1
476699;1;10.01.2020;08.11.2019;44007,14;0;;;;;;05.04.2022;10.01.2020;1;2
476701;1;10.01.2020;18.11.2019;90000;0;;;;;;05.04.2022;10.01.2020;1;3
476705;1;10.01.2020;18.11.2019;300000;0;;;;;;05.04.2022;10.01.2020;1;1
476716;1;10.01.2020;07.11.2019;500;0;;;;;;05.04.2022;10.01.2020;1;3
476718;1;10.01.2020;11.11.2019;8000;0;;;;;;05.04.2022;10.01.2020;1;2
476722;1;10.01.2020;20.11.2019;15000;0;;;;;;05.04.2022;10.01.2020;1;2
476734;1;10.01.2020;19.10.2019;37000;0;;;;;;05.04.2022;10.01.2020;1;2
476741;1;10.01.2020;29.10.2019;155000;0;;;;;;05.04.2022;10.01.2020;1;1
476750;1;10.01.2020;18.11.2019;240000;0;;;;;;05.04.2022;10.01.2020;1;3
476756;1;10.01.2020;24.10.2019;91818,18;0;;;;;;05.04.2022;10.01.2020;1;1
476767;1;10.01.2020;08.11.2019;210000;0;;;;;;05.04.2022;10.01.2020;1;2
476773;1;10.01.2020;19.11.2019;198000;0;;;;;;05.04.2022;10.01.2020;1;3
476775;1;10.01.2020;06.11.2019;28000;0;;;;;;05.04.2022;10.01.2020;1;2
476779;1;10.01.2020;17.09.2019;54098,8;0;;;;;;05.04.2022;10.01.2020;1;2
476781;1;10.01.2020;22.11.2019;6000;0;;;;;;05.04.2022;10.01.2020;1;2
476782;1;10.01.2020;21.11.2019;125000;0;;;;;;05.04.2022;10.01.2020;1;3
476786;1;10.01.2020;13.11.2019;56000;0;;;;;;05.04.2022;10.01.2020;1;1
476799;1;10.01.2020;22.11.2019;325620;0;;;;;;05.04.2022;10.01.2020;1;2
476800;1;10.01.2020;31.10.2019;6000;0;;;;;;05.04.2022;10.01.2020;1;1
476806;1;10.01.2020;15.11.2019;52000;0;;;;;;05.04.2022;10.01.2020;1;1
476815;1;10.01.2020;14.11.2019;42500;0;;;;;;05.04.2022;10.01.2020;1;2
476817;1;10.01.2020;12.11.2019;32000;0;;;;;;05.04.2022;10.01.2020;1;1
476820;1;10.01.2020;14.11.2019;1400;0;;;;;;05.04.2022;10.01.2020;1;2
476821;1;10.01.2020;15.11.2019;80000;0;;;;;;05.04.2022;10.01.2020;1;2
476822;1;10.01.2020;23.10.2019;14304,35;0;;;;;;05.04.2022;10.01.2020;1;3
476823;1;10.01.2020;18.11.2019;68000;0;;;;;;05.04.2022;10.01.2020;1;1
476829;1;10.01.2020;14.11.2019;3515;0;;;;;;05.04.2022;10.01.2020;1;3
476843;1;10.01.2020;13.11.2019;2730;0;;;;;;05.04.2022;10.01.2020;1;1
476846;1;10.01.2020;21.11.2019;253000;0;;;;;;05.04.2022;10.01.2020;1;2
476848;1;10.01.2020;18.11.2019;87000;0;;;;;;05.04.2022;10.01.2020;1;1
476858;1;10.01.2020;25.11.2019;50000;0;;;;;;05.04.2022;10.01.2020;1;1
476861;1;10.01.2020;25.11.2019;50000;0;;;;;;05.04.2022;10.01.2020;1;1
476862;1;10.01.2020;25.11.2019;54000;0;;;;;;05.04.2022;10.01.2020;1;1
476869;1;10.01.2020;05.11.2019;100000;0;;;;;;05.04.2022;10.01.2020;1;1
476879;1;10.01.2020;28.10.2019;7434,4;0;;;;;;05.04.2022;10.01.2020;1;1
476881;1;10.01.2020;06.11.2019;400;0;;;;;;05.04.2022;10.01.2020;1;3
476885;1;10.01.2020;28.10.2019;162000;0;;;;;;05.04.2022;10.01.2020;1;3
476895;1;10.01.2020;19.11.2019;30000;0;;;;;;05.04.2022;10.01.2020;1;4
476910;1;10.01.2020;25.11.2019;58000;0;;;;;;05.04.2022;10.01.2020;1;1
476915;1;10.01.2020;16.10.2019;6000;0;;;;;;05.04.2022;10.01.2020;1;1
476919;1;10.01.2020;28.10.2019;21000;0;;;;;;05.04.2022;10.01.2020;1;2
476927;1;10.01.2020;20.11.2019;1180;0;;;;;;05.04.2022;10.01.2020;1;1
476930;1;10.01.2020;26.11.2019;132000;0;;;;;;05.04.2022;10.01.2020;1;1
476932;1;10.01.2020;11.07.2019;3000;0;;;;;;05.04.2022;10.01.2020;1;3
476935;1;10.01.2020;25.11.2019;85680;0;;;;;;05.04.2022;10.01.2020;1;1
476945;1;10.01.2020;06.11.2019;141000;0;;;;;;05.04.2022;10.01.2020;1;2
