ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
344668;2119;ŠENČUR;ŠENČUR;1403/7;3;;;1/1;;186;;
344668;2083;BREG OB KOKRI;PREDDVOR;1301/4;5;;;1/1;;1381;;
344668;2083;BREG OB KOKRI;PREDDVOR;1301/5;3;;;1/1;;571;;
344668;2088;GORIČE;KRANJ;611/21;3;;;1/1;;178;;
344668;2088;GORIČE;KRANJ;611/14;2;;;1/1;;10;;
344668;2088;GORIČE;KRANJ;611/22;3;;;1/1;;18;;
344668;2119;ŠENČUR;ŠENČUR;1403/6;5;;;1/1;;369;;
344668;2088;GORIČE;KRANJ;611/12;3;;;1/1;;609;;
344668;2083;BREG OB KOKRI;PREDDVOR;1300/4;3;;;1/1;;24;;
344668;2088;GORIČE;KRANJ;611/11;3;;;1/1;;77;;
344668;2083;BREG OB KOKRI;PREDDVOR;1300/3;3;;;1/1;;1300;;
369687;2132;BITNJE;KRANJ;975;9;;;1/1;;2629;;
369687;2132;BITNJE;KRANJ;976;9;;;1/1;;3413;;
395872;2560;HRPELJE;HRPELJE-KOZINA;321/7;5;;;1/1;;7092;;
395872;2560;HRPELJE;HRPELJE-KOZINA;3212/2;5;;;1/1;;13;;
395872;2560;HRPELJE;HRPELJE-KOZINA;5187;5;;;1/1;;59;;
395872;2560;HRPELJE;HRPELJE-KOZINA;5188;5;;;1/1;;3290;;
409674;2170;GOZD;KRANJSKA GORA;565/3;9;;;1/3;;4088;;
409674;2170;GOZD;KRANJSKA GORA;562/4;9;;;1/3;;13090;;
409674;2170;GOZD;KRANJSKA GORA;581/117;9;;;1/3;;1029;;
409674;2170;GOZD;KRANJSKA GORA;581/118;9;;;1/3;;118;;
410052;2171;DOVJE;KRANJSKA GORA;1532/142;9;;;1/1;;8805;;
410052;2171;DOVJE;KRANJSKA GORA;1532/141;9;;;1/1;;3474;;
410052;2171;DOVJE;KRANJSKA GORA;1384/31;9;;;1/1;;49058;;
410052;2171;DOVJE;KRANJSKA GORA;1485/9;9;;;1/1;;9409;;
411038;2606;SEMEDELA;KOPER;256/28;1;;;1/1;;166;;
412734;2100;KRANJ;KRANJ;932/10;5;;;1/54;;521;;
412734;2100;KRANJ;KRANJ;932/6;5;;;1/54;;226;;
413404;2401;VIPAVA;VIPAVA;469/61;5;;;1/1;;280;;
415924;2134;ŽABNICA;KRANJ;1414/2;5;;;1/1;;18;;
415924;2134;ŽABNICA;KRANJ;3004/15;5;;;1/1;;172;;
427534;2032;RETEČE;ŠKOFJA LOKA;273/9;5;;;1/1;;706;;
430519;2123;ČIRČE;KRANJ;104/1;3;;;1/1;;442;;
430519;2123;ČIRČE;KRANJ;102/2;5;;;1/1;;574;;
430519;2123;ČIRČE;KRANJ;104/2;3;;;1/1;;31;;
431815;1738;DRAVLJE;LJUBLJANA;113/4;5;;;1/1;;2;;
431815;1738;DRAVLJE;LJUBLJANA;113/5;5;;;1/1;;25;;
431815;1738;DRAVLJE;LJUBLJANA;113/2;5;;;1/1;;29;;
433394;1659;RAKEK;CERKNICA;*383;5;;;1/1;;97;;
433394;1659;RAKEK;CERKNICA;1830/5;5;;;1/1;;814;;
442575;1756;ČRNUČE;LJUBLJANA;530/40;5;;;1/1;;582;;
444640;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;1362/18;1;;;1/1;;31;;
444640;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;1362/24;1;;;1/1;;237;;
444640;1722;TRNOVSKO PREDMESTJE;LJUBLJANA;1362/23;1;;;1/1;;32;;
444928;532;LENART V SLOVENSKIH GORICAH;LENART;301/22;5;;;1/1;;110;;
444932;532;LENART V SLOVENSKIH GORICAH;LENART;301/24;5;;;1/1;;41;;
444937;532;LENART V SLOVENSKIH GORICAH;LENART;301/21;5;;;1/1;;52;;
447835;2031;GODEŠIČ;ŠKOFJA LOKA;33/3;5;;;1/1;;127;;
447835;2031;GODEŠIČ;ŠKOFJA LOKA;33/4;5;;;1/1;;476;;
449931;1636;LOŽ;LOŠKA DOLINA;99;7;;;1/1;;1200;;
449931;1636;LOŽ;LOŠKA DOLINA;2297;5;;;1/1;;646;;
452708;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;77/70;5;;;80/953;;953;;
452946;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;77/70;5;;;90/953;;953;;
452947;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;77/70;5;;;107/953;;953;;
453803;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;77/70;5;;;107/953;;953;;
454025;1695;KARLOVŠKO PREDMESTJE;LJUBLJANA;77/70;5;;;105/953;;953;;
455355;1923;MOTNIK;KAMNIK;574;7;;;1/1;;1119;;
455355;1923;MOTNIK;KAMNIK;575;7;;;1/1;;6823;;
455355;1923;MOTNIK;KAMNIK;582/2;7;;;1/1;;1215;;
455355;1923;MOTNIK;KAMNIK;584/1;7;;;1/1;;1547;;
455355;1923;MOTNIK;KAMNIK;585;7;;;1/1;;924;;
455355;1923;MOTNIK;KAMNIK;584/2;7;;;1/1;;111;;
456459;532;LENART V SLOVENSKIH GORICAH;LENART;301/20;5;;;1/1;;36;;
476230;2175;JESENICE;JESENICE;902/159;6;;;1/1;;12;;
476252;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3382/5;3;;;1/1;;1125;;
476262;184;GORNJA RADGONA;GORNJA RADGONA;173/70;5;;;1/1;;17;;
476262;184;GORNJA RADGONA;GORNJA RADGONA;173/41;6;;;1/1;;13;;
476263;184;GORNJA RADGONA;GORNJA RADGONA;173/31;6;;;1/1;;13;;
476263;184;GORNJA RADGONA;GORNJA RADGONA;173/72;5;;;1/1;;17;;
476275;2302;KROMBERK;NOVA GORICA;1182/17;6;;;1;;286;;
476275;2302;KROMBERK;NOVA GORICA;1175/9;6;;;1;;1949;;
476275;2302;KROMBERK;NOVA GORICA;1175/5;1;;;1;;40;;
476321;2630;PIRAN;PIRAN;203/1;3;;;1/1;;162;;
476324;680;TEZNO;MARIBOR;2414/5;3;;;1/1;;134;;
476358;892;LEŠE;PREVALJE;212/3;5;;;1/4;;260;;
476367;1515;METLIKA;METLIKA;4524/2;6;;;48/100;;972;;
476372;763;OPLOTNICA;OPLOTNICA;2975/11;3;;;1/2;;22;;
476372;763;OPLOTNICA;SLOVENSKE KONJICE;2975/11;3;;;1/2;;22;;
476377;518;TRIJE KRALJI;BENEDIKT;63/38;1;;;1/2;;673;;
476394;1133;GORIČICA;ŠENTJUR;778/1;3;;;1/1;;1452;;
476394;1133;GORIČICA;ŠENTJUR;785/3;5;;;1/1;;1848;;
476394;1133;GORIČICA;ŠENTJUR;785/4;7;;;1/3;;396;;
476397;677;ZGORNJE RADVANJE;MARIBOR;1177/1;3;;;1/1;;3066;;
476397;677;ZGORNJE RADVANJE;MARIBOR;1177/2;3;;;1/1;;2856;;
476425;1066;VOJNIK OKOLICA;VOJNIK;417/30;5;;;1/1;;347;;
476425;1066;VOJNIK OKOLICA;VOJNIK;417/27;6;;;1/1;;19;;
476425;1066;VOJNIK OKOLICA;VOJNIK;417/28;6;;;1/3;;175;;
476431;105;MURSKA SOBOTA;MURSKA SOBOTA;3824;2;;;1/1;;5655;;
476432;1082;TEHARJE;ŠTORE;1116/8;1;;;100/100;;3074;;
476433;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3717/3;6;;;1/1;;271;;
476433;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3532/1;6;;;1/1;;281;;
476433;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3535/21;6;;;1/1;;217;;
476433;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3538/5;6;;;1/1;;176;;
476433;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3717/12;6;;;1/1;;166;;
476433;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3533/6;6;;;1/1;;255;;
476433;2391;VIPAVSKI KRIŽ;AJDOVŠČINA;3535/23;6;;;1/1;;1268;;
476453;1155;LOKA PRI ŽUSMU;ŠENTJUR;1080/10;5;;;1/1;;68;;
476454;1141;RIFNIK;ŠENTJUR;988/13;5;;;1/1;;131;;
476455;1138;ŠENTJUR PRI CELJU;ŠENTJUR;1368/4;5;;;1/1;;12;;
476455;1138;ŠENTJUR PRI CELJU;ŠENTJUR;1337/3;5;;;1/1;;52;;
476472;1460;ŠENTPETER;NOVO MESTO;160/139;5;;;1/1;;4417;;
476472;1460;ŠENTPETER;NOVO MESTO;246/1;5;;;1/1;;1650;;
476472;1460;ŠENTPETER;NOVO MESTO;246/4;6;;;1/1;;1243;;
476472;1460;ŠENTPETER;NOVO MESTO;255/3;6;;;1/1;;278;;
476480;1967;MOŠE;ŠENČUR;223/8;1;;;1/1;;454;;
476508;2610;VANGANEL;KOPER;1027/1;7;;;1/1;;1176;;
476509;2603;DEKANI;KOPER;2722/5;7;;;1/1;;119;;
476510;2275;PLAVE;KANAL;417;9;;;1/2;;11970;;
476510;2275;PLAVE;KANAL;257;9;;;1/2;;72;;
476510;2275;PLAVE;KANAL;258;3;;;1/2;;317;;
476510;2275;PLAVE;KANAL;259;9;;;1/2;;72;;
476510;2275;PLAVE;KANAL;263/1;3;;;1/2;;93;;
476510;2275;PLAVE;KANAL;286;9;;;1/2;;446;;
476510;2275;PLAVE;KANAL;414/1;9;;;1/2;;1234;;
476510;2275;PLAVE;KANAL;284;9;;;1/2;;119;;
476510;2275;PLAVE;KANAL;271;3;;;1/2;;131;;
476510;2275;PLAVE;KANAL;399;9;;;1/2;;572;;
476510;2275;PLAVE;KANAL;285/2;9;;;1/2;;565;;
476510;2275;PLAVE;KANAL;285/1;9;;;1/2;;568;;
476510;2275;PLAVE;KANAL;1124/6;9;;;1/2;;6511;;
476510;2275;PLAVE;KANAL;2067;3;;;1/2;;11;;
476510;2275;PLAVE;KANAL;272/1;3;;;1/2;;51;;
476510;2274;ANHOVO;KANAL;2245/22;9;;;1/6;;4100;;
476510;2274;ANHOVO;KANAL;65/1;1;;;1/6;;2777;;
476510;2274;ANHOVO;KANAL;2343;9;;;1/6;;4535;;
476510;2274;ANHOVO;KANAL;2344;7;;;1/6;;1931;;
476510;2274;ANHOVO;KANAL;2203;9;;;1/6;;4791;;
476512;2603;DEKANI;KOPER;2505;7;;;1/1;;1434;;
476514;1538;DOLENJA PODGORA;ČRNOMELJ;2237/2;9;;;1/1;;3595;;
476514;1538;DOLENJA PODGORA;ČRNOMELJ;2087/1;9;;;1/1;;4417;;
476514;1538;DOLENJA PODGORA;ČRNOMELJ;2154;9;;;1/1;;11829;;
476515;1522;PRIBIŠJE;SEMIČ;1673;7;;;1/1;;572;;
476515;1522;PRIBIŠJE;SEMIČ;1674;7;;;1/1;;104;;
476515;1522;PRIBIŠJE;SEMIČ;1675;7;;;1/1;;1939;;
476515;1522;PRIBIŠJE;SEMIČ;1676;7;;;1/1;;309;;
476515;1522;PRIBIŠJE;SEMIČ;1677;7;;;1/1;;306;;
476515;1522;PRIBIŠJE;SEMIČ;1678;9;;;1/1;;6729;;
476515;1522;PRIBIŠJE;SEMIČ;1679;9;;;1/1;;6416;;
476515;1522;PRIBIŠJE;SEMIČ;1680;9;;;1/1;;1036;;
476515;1522;PRIBIŠJE;SEMIČ;1683;7;;;1/1;;942;;
476515;1522;PRIBIŠJE;SEMIČ;1684/1;9;;;1/1;;1534;;
476515;1522;PRIBIŠJE;SEMIČ;1685;7;;;1/1;;482;;
476516;1808;MALE DOLE;IVANČNA GORICA;75/5;3;;;1/1;;748;;
476517;722;JEŠENCA;RAČE-FRAM;371/6;9;;;1/1;;2417;;
476518;1894;GODIČ;KAMNIK;445/5;5;;;1/1;;449;;
476518;1894;GODIČ;KAMNIK;445/10;5;;;1/1;;507;;
476518;1894;GODIČ;KAMNIK;447/8;5;;;1/1;;50;;
476518;1894;GODIČ;KAMNIK;447/9;5;;;1/1;;5;;
476518;1894;GODIČ;KAMNIK;447/11;1;;;1/1;;37;;
476518;1894;GODIČ;KAMNIK;447/10;4;;;1/1;;76;;
476519;459;REPIŠČE;VIDEM;332/3;5;;;1/1;;951;;
476520;713;ZLATOLIČJE;STARŠE;1473/10;7;;;1/1;;365;;
476521;1407;ROJE;TREBNJE;254/4;7;;;1/1;;3137;;
476523;2624;KOŠTABONA;KOPER;1230;7;;;1/1;;1295;;
476524;2624;KOŠTABONA;KOPER;2266;7;;;1/1;;1327;;
476526;1854;TIHABOJ;LITIJA;335/1;7;;;1/1;;3477;;
476526;1854;TIHABOJ;LITIJA;335/2;7;;;1/1;;189;;
476527;1568;PODTABOR;DOBREPOLJE;759/2;7;;;1/1;;466;;
476528;2019;GRČAREVEC;LOGATEC;344/1;5;;;1/1;;76;;
476528;2019;GRČAREVEC;LOGATEC;344/2;5;;;1/1;;506;;
476528;2019;GRČAREVEC;LOGATEC;344/3;5;;;1/1;;528;;
476528;2019;GRČAREVEC;LOGATEC;344/4;5;;;1/1;;50;;
476528;2019;GRČAREVEC;LOGATEC;344/5;5;;;1/1;;329;;
476528;2019;GRČAREVEC;LOGATEC;347;5;;;1/1;;122;;
476529;2611;MAREZIGE;KOPER;2267/3;7;;;1/1;;956;;
476530;1457;ŽDINJA VAS;NOVO MESTO;1964/10;5;;;1/1;;100;;
476531;1399;ŠENTRUPERT;ŠENTRUPERT;4042/2;3;;;1/1;;160;;
476531;1399;ŠENTRUPERT;ŠENTRUPERT;4040;3;;;1/1;;134;;
476531;1399;ŠENTRUPERT;ŠENTRUPERT;4043/2;3;;;1/1;;274;;
476531;1399;ŠENTRUPERT;ŠENTRUPERT;4045;3;;;1/1;;3968;;
476531;1399;ŠENTRUPERT;ŠENTRUPERT;4059;3;;;1/1;;4536;;
476531;1398;BISTRICA;ŠENTRUPERT;3301;3;;;1/1;;2759;;
476531;1399;ŠENTRUPERT;ŠENTRUPERT;4046/2;3;;;1/1;;1268;;
476532;973;REČICA OB PAKI;ŠMARTNO OB PAKI;960/113;6;;;1/1;;65;;
476533;2612;SVETI ANTON;KOPER;112/2;7;;;1/1;;144;;
476533;2612;SVETI ANTON;KOPER;112/5;7;;;1/1;;72;;
476534;1944;PREVOJE;LUKOVICA;121/15;5;;;1/1;;303;;
476535;965;LAZE;VELENJE;412/8;1;;;1/1;;273;;
476536;965;LAZE;VELENJE;408/2;1;;;1/1;;40;;
476538;400;PTUJ;PTUJ;863/1;7;;;27998/53222;;53222;;
476538;400;PTUJ;PTUJ;2515/4;7;;;1258/8740;;8740;;
476538;400;PTUJ;PTUJ;2632;7;;;1124/2218;;2218;;
476539;400;PTUJ;PTUJ;863/1;7;;;20019/53222;;53222;;
476540;2713;OB ŽELEZNICI;MARIBOR;852;5;;;1/2;;1287;;
476541;259;LJUTOMER;LJUTOMER;2043;9;;;89766/92394;;5133;;
