ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
166114;804;RADLJE OB DRAVI;RADLJE OB DRAVI;135/34;5;;;1/1;Atrij.;34;;
166114;804;RADLJE OB DRAVI;RADLJE OB DRAVI;135/3;6;;;1/1;;15;;
166114;804;RADLJE OB DRAVI;RADLJE OB DRAVI;135/38;6;;;1/12;;153;;
239327;1756;ČRNUČE;LJUBLJANA;898/29;6;;;1;;262;;
239327;1756;ČRNUČE;LJUBLJANA;898/40;6;;;1;;120;;
239442;851;LEGEN;SLOVENJ GRADEC;1022;9;;;1/1;;1716;;
239442;851;LEGEN;SLOVENJ GRADEC;1026/1;9;;;1/1;;1843;;
239442;851;LEGEN;SLOVENJ GRADEC;1026/2;9;;;1/1;;273;;
239442;851;LEGEN;SLOVENJ GRADEC;1026/3;9;;;1/1;;525;;
239442;851;LEGEN;SLOVENJ GRADEC;1027;9;;;1/1;;2600;;
239442;851;LEGEN;SLOVENJ GRADEC;1031/10;9;;;1/1;;719;;
239442;851;LEGEN;SLOVENJ GRADEC;1031/11;9;;;1/1;;722;;
239442;851;LEGEN;SLOVENJ GRADEC;1031/12;9;;;1/1;;736;;
239442;851;LEGEN;SLOVENJ GRADEC;1031/13;9;;;1/1;;769;;
239442;851;LEGEN;SLOVENJ GRADEC;1031/9;9;;;1/1;;19228;;
240009;2356;ČEKOVNIK;IDRIJA;782/2;5;;;1/1;;330;;
240009;2356;ČEKOVNIK;IDRIJA;782/3;5;;;1/1;;650;;
240066;2636;BEŽIGRAD;LJUBLJANA;9/17;5;;;1/1;;126;;
240066;2636;BEŽIGRAD;LJUBLJANA;9/19;5;;;1/1;;5;;
240074;1421;MEDVEDJE SELO;TREBNJE;603/45;3;;;1/1;;1418;;
240132;2002;VRHNIKA;VRHNIKA;2524/2;6;;;1/1;;405;;
240171;906;ČRNA;ČRNA NA KOROŠKEM;237/8;5;;;1/1;;34;;
240207;1738;DRAVLJE;LJUBLJANA;1653/66;5;;;1/1;;920;;
240210;2136;BREG OB SAVI;KRANJ;558/11;2;;;1/1;;584;;
240230;1995;PODSMREKA;LJUBLJANA;201/78;5;;;1/1;;275;;
240230;1995;PODSMREKA;LJUBLJANA;201/79;5;;;1/1;;691;;
240230;1995;PODSMREKA;LJUBLJANA;201/218;5;;;1/1;;2605;;
240241;2612;SVETI ANTON;KOPER;1143/9;6;;;1/1;;169;;
240241;2612;SVETI ANTON;KOPER;1143/4;6;;;3330/10000;;149;;
240246;2612;SVETI ANTON;KOPER;1143/7;6;;;1/1;;123;;
240246;2612;SVETI ANTON;KOPER;1143/13;6;;;1/1;;13;;
240246;2612;SVETI ANTON;KOPER;1143/4;6;;;3330/10000;;149;;
240381;332;ORMOŽ;ORMOŽ;1032/59;3;;;1/1;;47;;
240381;332;ORMOŽ;ORMOŽ;1032/60;4;;;1/1;;45;;
240398;1541;LOKA;ČRNOMELJ;2450/4;3;;;1/1;;55;;
240429;998;VELIKA PIREŠICA;ŽALEC;*151/4;3;;;1/1;;90;;
240429;998;VELIKA PIREŠICA;ŽALEC;*152;3;;;1/1;;539;;
240429;998;VELIKA PIREŠICA;ŽALEC;*153;3;;;1/1;;146;;
