ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
212518;1;03.11.2016;14.07.2015;60000;0;;;;;1;30.07.2019;03.11.2016;1;4
219997;5;18.02.2016;04.12.2007;647148,84;1;2;21.05.2015;21.05.2015;;;18.02.2016;18.02.2016;1;4
240104;1;04.01.2016;31.12.2015;374177,8;1;3;;;;1;30.07.2019;04.01.2016;1;1
240333;1;06.01.2016;08.12.2015;79671,52;1;3;;;;0;30.07.2019;06.01.2016;1;2
240477;1;07.01.2016;27.01.2015;17216,64;1;4;;;;0;30.07.2019;07.01.2016;1;2
240776;1;08.01.2016;18.08.2015;246000;1;3;;;;0;30.07.2019;08.01.2016;1;1
240797;1;09.01.2016;07.12.2015;81632,03;1;3;;;;1;30.07.2019;09.01.2016;1;1
240852;1;11.01.2016;15.12.2015;237500;1;3;;;;0;30.07.2019;11.01.2016;1;2
241032;1;11.01.2016;03.12.2015;25000;1;4;;;;0;30.07.2019;11.01.2016;1;2
241170;1;12.01.2016;08.01.2016;89914,99;1;3;;;;1;30.07.2019;12.01.2016;1;1
241239;1;12.01.2016;07.12.2015;4752,3;1;3;;;;0;30.07.2019;12.01.2016;1;2
241251;1;12.01.2016;01.12.2015;2500;0;;;;;0;30.07.2019;12.01.2016;1;4
241270;1;12.01.2016;05.10.2015;125326,05;1;3;;;;0;30.07.2019;12.01.2016;1;2
241284;1;12.01.2016;23.12.2015;324135,71;1;3;;;V CENI JE VKLJUČEN DDV PO STOPNJI 8,5% V VIŠINI 11.035,40? IN PO STOPNJI 9,5% V VIŠINI 15.900,31;0;30.07.2019;12.01.2016;1;2
241647;1;13.01.2016;13.10.2015;81525,15;1;3;;;;0;30.07.2019;13.01.2016;1;2
241661;1;13.01.2016;14.10.2015;65958,86;1;3;;;;0;30.07.2019;13.01.2016;1;2
241802;1;14.01.2016;30.12.2015;6344;1;4;;;;0;30.07.2019;14.01.2016;1;4
241859;1;14.01.2016;10.12.2015;50500;0;;;;;0;30.07.2019;14.01.2016;1;4
241965;1;18.01.2016;31.12.2015;2797299,5;1;4;;;;1;30.07.2019;18.01.2016;1;3
242050;1;15.01.2016;16.12.2015;42000;1;4;;;;0;30.07.2019;15.01.2016;1;2
242108;3;15.01.2016;11.05.2015;25010;1;4;;;;;30.07.2019;15.01.2016;1;3
242118;1;15.01.2016;16.12.2015;206000;1;4;;;76. A ČLEN ZDDV-1;0;02.06.2023;15.01.2016;1;4
242162;1;15.01.2016;26.10.2015;134728,81;1;3;;;;0;30.07.2019;15.01.2016;1;2
242272;1;15.01.2016;26.10.2015;64170,94;1;3;;;;0;30.07.2019;15.01.2016;1;2
242279;1;15.01.2016;23.12.2015;1700000;0;;;;;0;30.07.2019;15.01.2016;1;3
242321;1;15.01.2016;24.12.2015;91000;0;;;;ŠT. PREJ. VP. 4236-9317/2015;1;30.07.2019;15.01.2016;1;1
242325;3;15.01.2016;15.12.2015;34423;0;;;;;0;30.07.2019;15.01.2016;1;3
242354;3;15.01.2016;10.11.2015;2310;0;;;;PV 9312/2015  SKLEP O DOMIKU;0;30.07.2019;15.01.2016;1;3
242363;1;15.01.2016;08.12.2015;25000;0;;;;N 9253/2015;1;30.07.2019;15.01.2016;1;2
242368;1;15.01.2016;28.12.2015;225688,15;0;;;;N 9257/2015;1;30.07.2019;15.01.2016;1;2
242370;1;15.01.2016;28.12.2015;17000;0;;;;N 9265/2015;0;30.07.2019;15.01.2016;1;1
242399;1;15.01.2016;24.12.2015;350;0;;;;;0;30.07.2019;15.01.2016;1;3
242415;1;15.01.2016;18.12.2015;35000;0;;;;;1;30.07.2019;15.01.2016;1;2
242423;1;15.01.2016;21.12.2015;7000;0;;;;;0;30.07.2019;15.01.2016;1;4
242426;1;15.01.2016;16.12.2015;192500;0;;;;PV 8995/2015;0;30.07.2019;15.01.2016;1;2
242430;1;15.01.2016;18.11.2015;150;0;;;;PV 8628/2015;0;30.07.2019;15.01.2016;1;2
242434;1;15.01.2016;28.12.2015;24000;0;;;;;0;30.07.2019;15.01.2016;1;1
242444;1;15.01.2016;23.12.2015;67500;0;;;;PV9303/2015;0;30.07.2019;15.01.2016;1;1
242452;1;15.01.2016;22.12.2015;47000;0;;;;;0;30.07.2019;15.01.2016;1;1
242462;1;15.01.2016;21.12.2015;17800;0;;;;;0;30.07.2019;15.01.2016;1;2
242464;1;15.01.2016;22.12.2015;107500;0;;;;št. prejemnega vpisnika:4236-9178/2015.;1;30.07.2019;15.01.2016;1;1
242485;1;15.01.2016;22.12.2015;240000;0;;;;N 9216/2015;1;30.07.2019;15.01.2016;1;1
242496;1;15.01.2016;20.11.2015;2500;0;;;;;0;30.07.2019;15.01.2016;1;3
242522;1;15.01.2016;28.10.2015;1296;0;;;;;0;30.07.2019;15.01.2016;1;4
242526;1;15.01.2016;18.12.2015;43000;0;;;;;0;30.07.2019;15.01.2016;1;4
242529;1;15.01.2016;18.12.2015;45950;0;;;;;0;30.07.2019;15.01.2016;1;1
242541;1;15.01.2016;30.11.2015;900;0;;;;PV 8391/2015;0;30.07.2019;15.01.2016;1;4
242543;1;15.01.2016;21.12.2015;85000;0;;;;PV 9122/15;0;30.07.2019;15.01.2016;1;1
242544;1;15.01.2016;21.12.2015;2000;0;;;;PV 9187/15;0;30.07.2019;15.01.2016;1;1
242546;1;15.01.2016;22.12.2015;84000;0;;;;št. prejemnega vpisnika:4236-9166/2015;1;30.07.2019;15.01.2016;1;1
242553;1;15.01.2016;10.12.2015;52000;0;;;;;1;30.07.2019;15.01.2016;1;1
242554;1;15.01.2016;21.12.2015;31000;0;;;;;1;30.07.2019;15.01.2016;1;1
242568;1;15.01.2016;09.12.2015;2800;0;;;;;0;30.07.2019;15.01.2016;1;2
242587;1;15.01.2016;22.12.2015;60000;0;;;;;0;30.07.2019;15.01.2016;1;1
242588;1;15.01.2016;06.11.2015;1121;0;;;;N 9066/2015;0;30.07.2019;15.01.2016;1;4
242599;1;15.01.2016;15.12.2015;43000;0;;;;;0;30.07.2019;15.01.2016;1;1
242601;3;15.01.2016;21.12.2015;59500;1;3;;;;0;30.07.2019;15.01.2016;1;3
242603;1;15.01.2016;05.12.2015;65000;0;;;;;0;30.07.2019;15.01.2016;1;2
242605;1;15.01.2016;02.10.2015;3341,8;0;;;;;0;30.07.2019;15.01.2016;1;1
242611;1;15.01.2016;16.12.2015;135000;0;;;;N 8994/2015;0;30.07.2019;15.01.2016;1;4
242620;1;15.01.2016;09.12.2015;1500;0;;;;št. prejemnega vpisnika:4236-9046/2015.;0;30.07.2019;15.01.2016;1;1
242626;1;15.01.2016;21.12.2015;120000;0;;;;ŠT. PREJ. VP. 4236-9142/2015;0;30.07.2019;15.01.2016;1;1
242640;1;15.01.2016;14.12.2015;10000;0;;;;4236-8952/2015;0;30.07.2019;15.01.2016;1;1
242641;1;15.01.2016;11.11.2015;1822;0;;;;;0;30.07.2019;15.01.2016;1;1
242648;1;15.01.2016;14.12.2015;180000;0;;;;n 9001/15;1;30.07.2019;15.01.2016;1;2
242696;1;15.01.2016;14.12.2015;71;0;;;;;0;30.07.2019;15.01.2016;1;3
242712;1;15.01.2016;21.12.2015;10500;0;;;;ŠT. PREJ. VP. 4236-9040/2015;0;30.07.2019;15.01.2016;1;2
242717;1;15.01.2016;09.12.2015;87500;0;;;;n 8715/15;1;30.07.2019;15.01.2016;1;1
242736;1;15.01.2016;07.12.2015;7211,52;0;;;;4236-8859/2015;0;30.07.2019;15.01.2016;1;3
242739;1;15.01.2016;14.12.2015;46500;0;;;;4236-8889/2015;0;30.07.2019;15.01.2016;1;2
242747;1;15.01.2016;15.12.2015;302800;0;;;;4236-8920/2015;0;30.07.2019;15.01.2016;1;1
242751;1;15.01.2016;23.11.2015;13600;0;;;;;0;30.07.2019;15.01.2016;1;1
242752;1;15.01.2016;14.12.2015;268;0;;;;;0;30.07.2019;15.01.2016;1;2
242755;1;15.01.2016;15.12.2015;110000;0;;;;n 8902/15;0;30.07.2019;15.01.2016;1;1
242785;1;15.01.2016;14.12.2015;800000;0;;;;n 8877/15;0;30.07.2019;15.01.2016;1;2
242794;1;15.01.2016;21.12.2015;114000;0;;;;;0;30.07.2019;15.01.2016;1;2
242802;1;15.01.2016;18.12.2015;50000;0;;;;;1;30.07.2019;15.01.2016;1;1
242808;1;15.01.2016;08.12.2015;157000;0;;;;4236-8713/2015;1;30.07.2019;15.01.2016;1;1
242828;1;15.01.2016;02.11.2015;5430;0;;;;ŠT. PREJ. VP. 4236-8963/2015;0;30.07.2019;15.01.2016;1;2
242831;5;15.01.2016;25.11.2015;38800;0;;15.11.2030;;;0;30.07.2019;15.01.2016;1;4
242851;1;15.01.2016;16.12.2015;52000;0;;;;;0;30.07.2019;15.01.2016;1;1
242856;1;15.01.2016;15.12.2015;38000;0;;;;;1;30.07.2019;15.01.2016;1;1
242862;1;15.01.2016;16.12.2015;508,2;0;;;;;0;30.07.2019;15.01.2016;1;2
242865;1;15.01.2016;15.12.2015;86500;0;;;;;0;30.07.2019;15.01.2016;1;2
242906;1;15.01.2016;09.11.2015;13000;0;;;;;0;30.07.2019;15.01.2016;1;1
242911;1;15.01.2016;27.11.2015;1300;0;;;;;0;30.07.2019;15.01.2016;1;1
242929;1;15.01.2016;08.12.2015;7960;0;;;;;0;30.07.2019;15.01.2016;1;1
242934;1;15.01.2016;08.12.2015;1900;0;;;;;0;30.07.2019;15.01.2016;1;1
242952;1;15.01.2016;01.12.2015;103500;0;;;;n 8510/15;0;30.07.2019;15.01.2016;1;2
242959;1;15.01.2016;14.12.2015;27000;0;;;;;0;30.07.2019;15.01.2016;1;4
242962;1;15.01.2016;09.11.2015;4264;0;;;;;0;30.07.2019;15.01.2016;1;3
242968;1;15.01.2016;10.11.2015;140707,51;1;3;;;;0;30.07.2019;15.01.2016;1;2
242976;1;15.01.2016;07.12.2015;165888,57;1;3;;;;0;30.07.2019;15.01.2016;1;2
242978;1;15.01.2016;20.08.2015;1904,5;0;;;;PV 8368/2015;0;30.07.2019;15.01.2016;1;2
242979;1;15.01.2016;16.12.2015;90000;0;;;;;0;30.07.2019;15.01.2016;1;1
243003;1;15.01.2016;30.10.2015;2000;0;;;;;1;30.07.2019;15.01.2016;1;3
243014;1;15.01.2016;09.12.2015;32000;0;;;;;0;30.07.2019;15.01.2016;1;3
